string_catalog_name_is_too_long__nlimit_it_up_to_40_chars__please;Catalog name is too long!\nLimit it up to 40 chars, please;Katalogname ist zu lang!\nBegrenzen Sie ihn bitte auf maximal 40 Zeichen
string_can_t_add_point;Can\'t add point;Kann keinen Punkt hinzufügen
string_hide_find;Hide Find;Suche ausblenden
string_do_you_want_to_add_to_job__1_d_selected_points__of__2_d_;Do you want to add to job %1$d selected points (of %2$d);Möchten Sie zum Job %1$d ausgewählte Punkte (von %2$d) hinzufügen
string_view_on_map;View on Map;Auf Karte anzeigen
string_delete__1_d_selected_points__of__2_d_;Delete %1$d selected points (of %2$d);Löschen von %1$d ausgewählten Punkten (von %2$d)
string_point_name_is_empty_;Point name is empty!;Punktname ist leer!
string_text_not_found;Text Not Found;Text nicht gefunden
string_name;Name;Name
string_google_kml___kml;Google KML *.kml;Google KML *.kml
string_do_you_want_to_delete_point__1_s;Do you want to delete point %1$s;Wollen Sie Punkt %1$s löschen
string_unselect;UnSelect;UnSelect
string_what_to_do_with_catalog__1_s_;What to do with catalog %1$s?;Was soll mit dem Katalog %1$s geschehen?
string_close;Close;Schließen
string___add_new_control_point;+ Add new control point;+ Neuen Kontrollpunkt hinzufügen
string__d_points_were_deleted;%d points were deleted;%d Punkte wurden gelöscht
string_pnez_comma_text_file____txt_;PNEZ comma text file (*.txt);PNEZ Komma-Textdatei (*.txt)
string_leica_gsi___gsi;Leica GSI *.gsi;Leica GSI *.gsi
string_clear_select;Clear Select;Auswahl löschen
string_mapinfo___tab;MapInfo *.tab;MapInfo *.tab
string_catalogs;catalogs;Kataloge
string_delete_catalog;Delete Catalog;Katalog löschen
string_catalog__s;Catalog %s;Katalog %s
string_catalog__1_s_has_been_renamed_to__2_s;Catalog %1$s has been renamed to %2$s;Katalog %1$s wurde umbenannt in %2$s
string_raw_data_rw5___rw5;Raw Data RW5 *.rw5;Rohdaten RW5 *.rw5
string_export_points;Export Points;Punkte exportieren
string_what_to_do_with_point__1_s_;What to do with point %1$s?;Was soll mit Punkt %1$s gemacht werden?
string_code;Code;Code
string_select;Select;Wählen Sie
string_edit_catalog;Edit Catalog;Katalog bearbeiten
string_delete;Delete;Löschen
string_show_on_map;Show on map;Auf Karte anzeigen
string_mapinfo____mif___tab_;MapInfo (*.mif||*.tab);MapInfo (*.mif||*.tab)
string_found__d_times;Found %d times;%d mal gefunden
string_select_catalog;Select Catalog;Katalog auswählen
string_import;Import;Importieren
string_delete_point__1_s;Delete point %1$s;Punkt %1$s löschen
string_ascii_file___txt;ASCII file *.txt;ASCII-Datei *.txt
string_what_to_do_with_selected__1_d_points__of__2_d__;What to do with selected %1$d points (of %2$d)?;Was tun mit ausgewählten %1$d Punkten (von %2$d)?
string_autocad_drawing___dxf;AutoCad Drawing *.dxf;AutoCad-Zeichnung *.dxf
string_add_point__1_s_to_job__2_s;Add point %1$s to job %2$s;Punkt %1$s zu Job %2$s hinzufügen
string_catalog__s_has_been_deleted;Catalog %s has been deleted;Katalog %s wurde gelöscht
string_netcad____ncn_;NetCAD (*.ncn);NetCAD (*.ncn)
string__1_d_points_were_added_to_job__2_s;%1$d points were added to job %2$s;%1$d Punkte wurden zum Job %2$s hinzugefügt
string_catalog;catalog;Katalog
string_select_all;Select All;Alles auswählen
string_export;Export;Exportieren
string_added_ok;Added OK;Hinzugefügt OK
string_mapinfo___mif;MapInfo *.mif;MapInfo *.mif
string_to_total_station____gsi___sdr___raw_;to Total Station (*.gsi||*.sdr||*.raw);zur Totalstation (*.gsi||*.sdr||*.raw)
string_catalog_name_is_empty_;Catalog name is empty!;Katalogname ist leer!
string_add_to_job__1_s__2_d_selected_points__of__3_d_;Add to job %1$s %2$d selected points (of %3$d);Zu Job %1$s %2$d ausgewählte Punkte (von %3$d) hinzufügen
string__1_s_2_s__3_s;%1$s%2$s %3$s;%1$s%2$s %3$s
string_autocad_drawing____dxf_;AutoCad Drawing (*.dxf);AutoCad-Zeichnung (*.dxf)
string_select_export_type;Select Export Type;Exporttyp wählen
string_description;Description;Beschreibung
string_cancel;Cancel;Abbrechen
string_find;Find:;Suchen:
string__s;%s;%s
string_do_you_want_to_add_point__s_to_job_;Do you want to add point %s to job?;Möchten Sie den Punkt %s zum Auftrag hinzufügen?
string_delete_point;Delete point;Punkt löschen
string_ascii_file____txt_;ASCII file (*.txt);ASCII-Datei (*.txt)
string_can_t_rename_catalog__1_s_to__2_s_;Can\'t rename catalog %1$s to %2$s!;Kann den Katalog %1$s nicht in %2$s umbenennen!
string_error_;Error!;Fehler!
string_invert_selection;Invert Selection;Auswahl invertieren
string_netcad___ncn;NetCAD *.ncn;NetCAD (*.ncn)
string_mapinfo____tab_;MapInfo (*.tab);MapInfo (*.tab)
string_do_you_want_to_delete_point__s__;Do you want to delete point %s ?;Wollen Sie den Punkt %s löschen ?
string_catalog__s_already_exists_;Catalog %s already exists!;Katalog %s existiert bereits!
string_point_name_is_too_long__nlimit_it_up_to_40_chars__please;Point name is too long!\nLimit it up to 40 chars, please;Punktname ist zu lang!\nBeschränken Sie ihn bitte auf maximal 40 Zeichen
string_do_you_want_to_delete__1_d_selected_points__of__2_d_;Do you want to delete %1$d selected points (of %2$d);Wollen Sie %1$d ausgewählte Punkte (von %2$d) löschen
string_delete__1_d_filtered_points__of__2_d_;Delete %1$d filtered points (of %2$d);Löschen Sie %1$d gefilterte Punkte (von %2$d)
string_can_t_delete_catalog__s_;Can\'t delete catalog %s!;Kann Katalog %s nicht löschen!
string_new_catalog;New Catalog;Neuer Katalog
string_catalog__s_has_been_created;Catalog %s has been created;Katalog %s wurde erstellt
string_point;point;Punkt
string_can_t_delete_currently_selected_catalog_;Can\'t delete currently selected catalog!;Can\'t delete currently selected catalog!
string_can_t_create_catalog__s_;Can\'t create catalog %s!;Can\'t create catalog %s!
string_sokkia_sdr33___sdr;Sokkia SDR33 *.sdr;Sokkia SDR33 *.sdr
string_can_t_set_cs__s;Can\'t set CS %s;Can\'t set CS %s
string_warning;Warning;Warnung
string_do_you_want_to_add_to_job_point__1_s;Do you want to add to job point %1$s;Möchten Sie zu Job-Punkt %1$s hinzufügen
string_google_kml____kml_;Google KML (*.kml);Google KML (*.kml)
string_import_points;Import Points;Punkte importieren
string_point__s_already_exists_;Point %s already exists!;Punkt %s existiert bereits!
string_points;points;Punkte
