description_move;The task moves existing points by given distance and angle.;Die Aufgabe verschiebt vorhandene Punkte um einen vorgegebenen Abstand und Winkel.
description_intersection_d_d;Known two points P1 and P2 and two radiuses - distances from P1 and P2 to new computed point P3. To resolve ambiguity in result point please select Left or Right side P1-P2.;Bekannte zwei Punkte P1 und P2 und zwei Radien - Abstände von P1 und P2 zum neuen berechneten Punkt P3. Um die Mehrdeutigkeit des Ergebnispunktes aufzulösen, wählen Sie bitte die linke oder rechte Seite P1-P2.
title_inverse_offset;Inv.Offset;Inv.Versatz
string_name;Name;Name
title_move;Move;Verschieben
title_hinge;Hinge;Scharnier
title_intersection_lines;Two Line Intersection;Schnittpunkt zweier Linien
title_traverse;Traverse;Traversieren
title_diagonals;Diagonals;Diagonalen
description_inverse;Inverse geodetic task computes the bearing (azimuth) and distance between two known points.;Inverse geodätische Aufgabe berechnet die Peilung (Azimut) und den Abstand zwischen zwei bekannten Punkten.
text_r1;R1;R1
string_number;N;N
button_create;Create;erstellen
description_inverse_offset;Compute intersection of two perpendicula lines defined by 3 points;Berechnet den Schnittpunkt zweier Senkrechtlinien, die durch 3 Punkte definiert sind
text_r3;R3;R3
description_isolines;The task triangulates the selected points and and compute lines of equal heights with given values.;Die Aufgabe trianguliert die ausgewählten Punkte und berechnet Linien gleicher Höhe mit gegebenen Werten.
create_new_points;Create New Points;Neue Punkte erzeugen
text_r2;R2;R2
text_right;Right;Rechts
description_basic;Basic functions as\nDirect, Inverse, Offset and Shifts\n;Grundfunktionen as\nDirect, Inverse, Offset und Shifts\n
description_divide_line;The task divides line defined by two known points to given number of points.;Die Aufgabe teilt eine durch zwei bekannte Punkte definierte Linie in eine gegebene Anzahl von Punkten.
description_parallel;Recompute area by parallel moving edge;Fläche durch Parallelverschiebung der Kante neu berechnen
text_area;Area;Fläche
description_resection;Computes point P4 with given points P1, P2, P3 and distances D1, D2, D3 from them.;Berechnet den Punkt P4 mit den gegebenen Punkten P1, P2, P3 und den Abständen D1, D2, D3 von ihnen.
text_distance;Distance;Abstand
title_offsets;Offsets;Offsets
description_offset;The task computes position by two offsets along and across line from a line given by two points.;Die Aufgabe berechnet die Position durch zwei Offsets entlang und quer zu einer Linie, die durch zwei Punkte gegeben ist.
text_cut_area_m2;Cut Area, m&#178||;Schnittbereich, m&#178||
text_num_points;Number of points;Anzahl der Punkte
title_intersection_d_d;Distance-Distance;Abstand-Abstand
title_isolines;Isolines;Isolinien
description_area_perimeter;The task computes area and perimeter of the area defined by selected points.;Die Aufgabe berechnet Fläche und Umfang der durch ausgewählte Punkte definierten Fläche.
title_area_perimeter;Area/Perimeter;Fläche/Perimeter
description_direct;Compute position of a point by given the known position of a beginning point and the bearing (azimuth) and distance between the two points;Berechnen Sie die Position eines Punktes, indem Sie die bekannte Position eines Anfangspunktes sowie die Peilung (Azimut) und den Abstand zwischen den beiden Punkten angeben
description_hinge;Recompute area by moving hinge;Fläche neu berechnen durch Verschieben des Gelenks
description_offsets;Offset tasks by two points.\nOffset along line, to line and standard offset\n;Versetzen von Aufgaben um zwei Punkte.\nVersatz entlang der Linie, zur Linie und Standardversatz\n
text_r;Radius (R);Radius (R)
description_volume;The task computes volume of the convex hall defined by selected points.;Die Aufgabe berechnet das Volumen der durch ausgewählte Punkte definierten konvexen Halle.
text_coordinate;N: &#x002d||&#x002d||&#x002d||\nE: &#x002d||&#x002d||&#x002d||\nH: &#x002d||&#x002d||&#x002d||\n;N: &#x002d||&#x002d||&#x002d||\nE: &#x002d||&#x002d||&#x002d||\nH: &#x002d||&#x002d||&#x002d||\n
text_t;Tangent (T);Tangens (T)
text_bearing;Bearing;Peilung
title_line_offsets;Line Offsets;Linien-Offsets
description_intersection_lines;Known 4 points - P1, P2, P3, P4. CoGo point P5 as intersection of P1-P2 and P3-P4.;Bekannte 4 Punkte - P1, P2, P3, P4. CoGo-Punkt P5 als Schnittpunkt von P1-P2 und P3-P4.
description_stakeout_curve;Stakeout Curve task is similar to Stake Line, but it works on circular curves instead of straight lines. It divides Arc by equal segments based on point number. The arc has Offset from base Arc with given Radius and the angle of rotation A.;Die Aufgabe Absteckung Kurve ist ähnlich wie Absteckung Linie, aber sie arbeitet auf Kreisbögen statt auf Geraden. Sie unterteilt den Kreisbogen in gleiche Segmente, basierend auf der Punktnummer. Der Bogen hat einen Versatz zum Basisbogen mit gegebenem Radius und dem Drehwinkel A.
text_m;Middle Ordinate (m);Mittlere Ordinate (m)
text_cut_area_percent;Cut Area, &#37||;Schnittfläche, &#37||
text_l;Arc Length (L);Bogenlänge (L)
description_transform;Tasks for several points\n like Shift, Rotate, Average\n;Aufgaben für mehrere Punkte\n wie Verschieben, Drehen, Mittelwertbildung
title_parallel;Parallel;Parallel
text_c;Chord ( c);Sehne ( c)
text_view2;Text;Text
text_p3;P3\npoint3\n;P3\nPunkt3\n
text_b;B, grid;B, Gitter
remove_previous_isolines;Clear Previous Isolines;Vorherige Isolinien löschen
text_p2;P2\npoint2\n;P2\nPunkt2\n
text_e;External (e);Extern (e)
text_d;D;D
text_keep_area_percent;Keep Area, &#37||;Bereich beibehalten, &#37||
text_p4;P4\npoint4\n;P4\nPunkt4\n
text_angle_a;α;α
text_angle_b;β;β
text_angle_c;γ;γ
text_p1;P1\npoint1\n;P1\nPunkt1\n
text_h;&#x394||H, abs;β, abs
description_diagonals;Known 4 points - P1, P2, P3, P4. CoGo point P5 as intersection of P1-P3 and P2-P4.;Es sind 4 Punkte bekannt - P1, P2, P3, P4. CoGo-Punkt P5 als Schnittpunkt von P1-P3 und P2-P4.
title_inverse;Inverse;Umgekehrt
title_points3_arc;3-Points Arc;3-Punkte-Bogen
title_intersections;Intersections;Schnittpunkte
image_view2;Image;Bild
text_refheight;Reference Height;Referenz Höhe
description_shift;The task shifts existing points by deltas north, east and up.;Die Aufgabe verschiebt bestehende Punkte um Deltas nach Norden, Osten und oben.
move_existing_points;Move Existing Points;Vorhandene Punkte verschieben
text_a;Angle (A);Winkel (A)
text_deltas;Result\nCoordinate\nDeltas;Ergebnis\nKoordinate\nDeltas
title_volume;Volume;Volumen
text_second_nodal_point;2nd nodal point;2. Nodalpunkt
text_coordinate_result;N: &#x002d||&#x002d||&#x002d||\nE: &#x002d||&#x002d||&#x002d||\nH: &#x002d||&#x002d||&#x002d||\nName:;N: &#x002d||&#x002d||&#x002d||\nE: &#x002d||&#x002d||&#x002d||\nH: &#x002d||&#x002d||&#x002d||\nName:
title_stakes;Stakes;Pfähle
text_heights;Point Height Range;Punkt Höhe Bereich
text_perimeter;Perimeter;Umkreis
button_report;Report;Bericht
text_angle;Angle;Winkel
text_first_nodal_point;1st nodal point;1. Nodalpunkt
text_side_a;A;A
description_areas;Area/Perimiter/Volume computations, Area change tasks\n;Flächen-/Perimeter-/Volumenberechnungen, Flächenänderungsaufgaben\n
text_d_arc;Degree of Curvature, arc;Krümmungsgrad, Bogen
description_traverse;Traverse geodetic task computes the geodetic position of a Point P3 by given two known points P1 and P2 and an angle(bearing) and distance.;Traverse geodätische Aufgabe Berechnet die geodätische Position eines Punktes P3 bei zwei bekannten Punkten P1 und P2 und einem Winkel (Peilung) und einer Entfernung.
text_side_b;B;B
description_average;The task compute average coordinates of the selected points and store a point with the coordinates.;Die Aufgabe berechnet die durchschnittlichen Koordinaten der ausgewählten Punkte und speichert einen Punkt mit den Koordinaten.
text_side_c;C;C
string_east;East;Ost
title_along_line;Along Line;Entlang der Linie
text_keep_area_m2;Keep Area, m&#178||;Bereich beibehalten, m&#178||
add_new_isolines;Add New Isolines;Neue Isolinien hinzufügen
text_dn;&#x394||N;&#x394|N
string_north;North;Norden
text_delta_e;&#x394||E;&#x394|E
text_points;Select Points;Punkte auswählen
text_delta_h;&#x394||H;&#x394|H
title_offset;Offset;Versetzen
text_dh;&#x394||H;&#x394|H
title_transform;Transform;Transformieren
text_de;&#x394||E;&#x394||E
description_triangle;Traverse geodetic task computes the parameters of the triangle (side length and angles) by given three known points P1, P2 and P3.;Traverse geodetic task berechnet die Parameter des Dreiecks (Seitenlänge und Winkel) bei drei bekannten Punkten P1, P2 und P3.
title_rotate;Rotate;Drehen
