string_select_p2_;Select P2!;Wählen Sie P2!
string_left;LEFT;LINKS
string_can_t_convert_coordinates_to_currect_coordinate_system_;Can\'t convert coordinates to currect coordinate system!;Kann die Koordinaten nicht in das korrekte Koordinatensystem umrechnen!
string_d2__slant;D2, slant;D2, schräg
string_wrong_area_percent_;Wrong area percent!;Falsche Flächenprozente!
string__u0394h;\u0394H;\u0394H
string_number_of_points;Number of points;Anzahl der Punkte
string_d3__slant;D3, slant;D3, Schräglage
string_contouring_is_over;Contouring is over;Konturierung ist vorbei
string_can_t_compute_coordinates_;Can\'t compute coordinates!;Kann keine Koordinaten berechnen!
string_segment_length;Segment length;Segmentlänge
string_wrong_area_;Wrong area!;Falscher Bereich!
string__d_points_were_successfully_created;%d points were successfully created;%d Punkte wurden erfolgreich erstellt
string_close;Close;Schließen Sie
string_wrong_angle_;Wrong angle!;Falscher Winkel!
string_can_t_convert_point_2_coordinates_to_current_coordinate_system_;Can\'t convert point 2 coordinates to current coordinate system!;Kann die Koordinaten von Punkt 2 nicht in das aktuelle Koordinatensystem konvertieren!
string_can_t_convert_point_1_coordinates_to_current_coordinate_system_;Can\'t convert point 1 coordinates to current coordinate system!;Kann die Koordinaten von Punkt 1 nicht in das aktuelle Koordinatensystem konvertieren!
string_dh__angle;DH, Angle;DH, Winkel
string_wrong_distance_d2_;Wrong distance D2!;Falscher Abstand D2!
string_select_point_2;Select point 2;Punkt 2 wählen
string_select_point_3;Select point 3;Punkt 3 wählen
string_d__slant;D, slant;D, Schräge
string_select_point_1;Select point 1;Punkt 1 wählen
string_actions;Actions;Aktionen
string_wrong_bearing_;Wrong bearing!;Falsche Peilung!
string_wrong_height_;Wrong height!;Falsche Höhe!
string_please_manually_open_result_file_in_the_job_cogoreport_subfolder_;Please manually open result file in the job/cogoreport subfolder.;Bitte Ergebnisdatei im Unterordner job/cogoreport manuell öffnen.
string__d_points_successfully_created;%d points successfully created;%d Punkte erfolgreich erstellt
string_no_heights_to_compute_isolines;No heights to compute isolines;Keine Höhen zur Berechnung der Isolinien
string_wrong_radius_;Wrong radius!;Falscher Radius!
string_select_p3_;Select P3!;Wählen Sie P3!
string__points; points; Punkte
string_h__abs;H, Abs;H, Abs
string_wrong_offset_;Wrong offset!;Falscher Offset!
string_wrong_number_of_tracks_;Wrong number of tracks!;Falsche Anzahl von Spuren!
string_h__p1;H, P1;H, P1
string_can_t_compute_parameters_;Can\'t compute parameters!;Kann die Parameter nicht berechnen!
string_wrong_segment_length_;Wrong segment length!;Falsche Segmentlänge!
string_h__p2;H, P2;H, P2
string_right;RIGHT;RICHTIG
string_basic;Basic;Basis
string_d__horizontal;D, horizontal;D, horizontal
string_select_points;Select points;Punkte auswählen
string__d_contours;%d contours;%d Konturen
string_export;Export;Exportieren
string_contouring_has_succesfully_done;Contouring has succesfully done;Konturierung ist erfolgreich durchgeführt
string_can_t_convert_coordinates_;Can\'t convert coordinates!;Kann Koordinaten nicht umrechnen!
string_select_p4_;Select P4!;P4 auswählen!
string_wrong_track_increment_;Wrong track increment!;Falsches Spurinkrement!
string_d2__horizontal;D2, horizontal;D2, horizontal
string_wrong_bearing_increase_;Wrong bearing increase!;Falsche Spurerhöhung!
string_select_rotate_point;Select rotate point;Rotationspunkt wählen
string_d3__horizontal;D3, horizontal;D3, horizontal
string_b__mag;B, mag;B, mag
string_h__abs_;H, Abs.;H, Abs.
string_can_t_compute_isolines_;Can\'t compute isolines!;Can\'t compute isolines!
