string_design;Design;Gestaltung
string_action_button;&#8211||;&#8211||
string_cs_name;CS Name;CS Name
string_datum_dz;DZ, m;DZ, m
string_rotation_xml;Rotation;Drehung
identical_point_type;Type;Typ
string_datum_dx;DX, m;DX, m
action_parameters;Setup;Einrichtung
string_datum_dy;DY, m;DY, m
string_north_inclination_xml;North Inclination;Nord-Neigung
current_epoch;Cur.Epoch;Cur.Epoche
no_geodata_error;No GeoData!;Keine GeoDaten!
string_longitude_origin_string;Longitude Orig.;Längengrad Orig.
datum_direction;Datum direction;Datum Richtung
string_east_inclination_xml;East Inclination;Ost Neigung
string_east_ground_xml;East Ground;Ost Boden
button_apply;Apply;Anwenden
string_latitude_origin_xml;Latitude Orig.;Breitengrad Orig.
string_origin;Origin;Ursprung
string_origin_east;East origin;Osten Ursprung
action_import_localization;Import Localization;Lokalisierung importieren
button_cancel;Cancel;Abbrechen
string_height_system;Height System;Höhe System
string_datum_rx;RX, sec;RX, sec
string_type_string;Type;Typ
string_datum_ry;RY, sec;RY, sec
string_datum_rz;RZ, sec;RZ, sek
string_vertical_treshold;Vertical treshold;Vertikaler Schwellwert
string_longitude_xml;Longitude;Längengrad
string_datum_scale_difference;Scale Difference, ppm;Maßstabsdifferenz, ppm
string_transformation;Transformation;Transformation
add_to_favorites;Add to favorites;Zu den Favoriten hinzufügen
do_you_want_to_remove_it;It wll be removed. Please redownload it.;Es wird entfernt. Bitte laden Sie es erneut herunter.
string_scale_xml;Scale;Skala
category_datum;Datum;Datum
category_projection;Projection;Projektion
action_export_localization;Export Localization;Lokalisierung exportieren
string_north_ground_xml;North Ground;Nord Grund
add_to_favorites_description;Press to add to cs favorites and finish;Drücken, um zu den cs-Favoriten hinzuzufügen und zu beenden
string_east_origin_xml;East Origing;Osten Ursprünge
action_filter;Filter;Filter
geodata_error_illegal_state;Error of reading file javad/geodata/CoordinateSystemDB.db3!;Fehler beim Lesen der Datei javad/geodata/CoordinateSystemDB.db3!
string_north_origin_xml;North Origing;Norden Ursprung
string_latitude_xml;Latitude;Breitengrad
string_geoid_string;Geoid;Geoid
action_delete_localization;Delete Localization;Lokalisierung löschen
string_survey;Survey;Vermessung
string_height_offset_xml;Height Offset;Höhe Offset
string_horizontal_treshold;Horizontal treshold;Horizontale Schwelle
string_origin_north;North origin;Nördlicher Ursprung
geodata_error;File javad/geodata/CoordinateSystemDB.db3 is corrupted!;Die Datei javad/geodata/CoordinateSystemDB.db3 ist beschädigt!
view_report;View Report;Bericht anzeigen
