template;Report Template;Berichtsvorlage
inverse_xy;Swap XY Values;XY-Werte tauschen
import_objects;Import objects;Objekte importieren
second_text_field;Second Text Field;Zweites Textfeld
generate_report;Generate Report;Bericht generieren
format_pnez;PNEZ (*.txt);PNEZ (*.txt)
string_report_title;Report;Bericht
format_rw5;Raw Data RW5 (*.raw);Rohdaten RW5 (*.raw)
export;Export;Exportieren
third_text_field;Third Text Field;Drittes Textfeld
export_mapinfo_tab;Export MapInfo TAB;MapInfo-TAB exportieren
after_export;To do after export;Nach dem Export zu tun
format_gsi;Leica GSI (*.gsi);Leica GSI (*.gsi)
file_name;File Name;Name der Datei
folder_name;Folder name;Name des Ordners
format_sdr;Sokkia SDR33 (*.sdr);Sokkia SDR33 (*.sdr)
report_to_do;To do after export;Nach dem Export zu tun
export_objects;Export objects;Objekte exportieren
to_ts_file_format;File Format;Dateiformat
export_trajectories;Export Trajectories As;Trajektorien exportieren als
send_via_email;Share file;Datei freigeben
text_string_height;Text String Height;Text String Höhe
export_as_block;Points As Block;Punkte als Block
first_text_field;First Text Field;Erstes Textfeld
export_mapinfo_mif;Export MapInfo MIF;MapInfo MIF exportieren
importstr;Import;Importieren
report_output_format;Output format;Ausgabeformat
