title_activity_cses;CS Favorites;CS Favorites
title_activity_survey_style;Survey Style;Survey Style
title_select_type;Select Data Type;Select Data Type
title_activity_find_smarttip;Connect J-Tip;Connect J-Tip
title_activity_cogo_direct;Direct;Direct
title_activity_connection;Connection;Connection
title_activity_report;Report;Report
title_activity_splash;Splash;Splash
title_one_drive;OneDrive;OneDrive
title_activity_point;Point;Point
title_activity_survey_points;Survey Points;Survey Points
string_intro;JMT;JMT
title_activity_connect_ts;Connect to TS;Connect to TS
title_activity_map;Map;Map
title_activity_opus_result_process;Process Result;Process Result
title_activity_configure_lan;Setup LAN;Setup LAN
title_activity_last_point_names;Last Names;Last Names
title_activity_stakeout_cutfill;Stakeout;Stakeout
title_activity_start_survey;Survey;Survey
title_activity_export_mapinfo;Export MapInfo;Export MapInfo
title_activity_descriptions;Descriptions;Descriptions
title_activity_rtkbases;RTK Bases;RTK Bases
title_activity_update_firmware;Update Firmware;Update Firmware
title_activity_surveying;Surveying;Surveying
title_activity_details;Details;Details
title_settings;Settings;Settings
title_activity_antena;RTK Base Antenna;RTK Base Antenna
title_activity_to_ts;To TotalStation;To TotalStation
title_compasslevels_settings;Tilt settings;Tilt settings
title_activity_design_points;Design Points;Design Points
title_activity_configure_ntrip;Configure Ntrip;Configure Ntrip
title_activity_resets;Actions;Actions
app_name_teigha;Teigha;Teigha
title_activity_file_list;File List;File List
title_select_file;Select File;Select File
title_activity_spoofing;Spoofing;Spoofing
title_select_white_box;Select Item;Select Item
title_activity_dpos_process_hybrid_rtk;Process HybridRTK;Process HybridRTK
title_activity_opus_process;OPUS Process;OPUS Process
string_rtk_base_wizard;RTK Base;RTK Base
title_activity_archive_job_folder;Achieve Folder;Achieve Folder
title_activity_start_station_resection;Resection;Resection
title_activity_corrections;Corrections;Corrections
title_activity_vbrtk;VB-RTK;VB-RTK
title_activity_satellite;Satellites;Satellites
title_find_ts;Bluetooth Search;Bluetooth Search
jps2rin_activity;JPS2Rinex;JPS2Rinex
title_activity_receive;Receive;Receive
title_activity_catalog_info;Current Catalog;Current Catalog
title_activity_debug;Debug;Debug
title_select_job;Select Job;Select Job
string_options;Options;Options
title_activity_pair_modem;Pair HPT Modem;Pair HPT Modem
title_activity_cogo_inverse;Inverse;Inverse
title_activity_file_manager;Receiver Files;Receiver Files
title_activity_rtk;RTK Rover;RTK Rover
title_activity_provider;Map Provider;Map Provider
title_threads;Threads;Threads
title_activity_configure_rcv;Configure RCV;Configure RCV
title_activity_import;Import;Import
title_activity_attach_device;Attach Device;Attach Device
title_verify_settings;Verify;Verify
string_settings;Settings;Settings
title_activity_update_oaf;Update OAF;Update OAF
title_activity_stakeout_settings;Settings;Settings
title_activity_configure_generic_radio;Generic Radio;Generic Radio
title_activity_jcors;J-CORS;J-CORS
title_activity_export_dxf;Export AutoCAD;Export AutoCAD
title_load_firmware_modem;Load Firmware;Load Firmware
title_activity_catalog_point;Catalog Point;Catalog Point
title_activity_rangefinder;RangeFinder;RangeFinder
title_height_filter_settings;Height Filter;Height Filter
title_activity_about;About;About
title_activity_rtkbase;RTK Base;RTK Base
title_activity_jobs;Jobs;Jobs
title_activity_jcommunity_devices;Devices;Devices
title_activity_audio_recording;Record Audio;Record Audio
title_activity_dpos_process;DPOS Process;DPOS Process
title_activity_stakeout_line_target;Line Target;Line Target
title_activity_connection_configurations_title;Configurations;Configurations
title_activity_surveying_sng;Surveying;Surveying
title_activity_ts_point;TS Point;TS Point
title_activity_terminal;Terminal;Terminal
title_activity_jcommunity_settings;Settings;Settings
title_activity_surveying_rtk;Surveying;Surveying
title_activity_spectrum;Spectrum;Spectrum
title_activity_survey_settings;Survey Settings;Survey Settings
title_activity_calendar;Select date;Select date
title_activity_cogo_result;Result;Result
title_activity_catalog;Catalogs;Catalogs
title_activity_jmate_main;J-Mate;J-Mate
title_activity_dpos_base;DPOS Base;DPOS Base
title_activity_connection_configuration_rename;Rename;Rename
title_activity_file_logging;File Logging;File Logging
title_activity_satellite_types;Satellites;Satellites
title_activity_ts_points;TS Points;TS Points
title_startup_ui;Start with;Start with
title_activity_survey;Survey;Survey
title_activity_ts_exchange;TS Exchange;TS Exchange
title_activity_smarttip;J-Tip;J-Tip
title_activity_localization_ip;Identical Points;Identical Points
title_activity_complex_polygon_object;Polygon;Polygon
title_activity_point_survey_rtpk;RTPK;RTPK
title_activity_block_size;Download Block Size;Download Block Size
new_file;New File;New File
title_activity_power;Power;Power
title_activity_confirm_survey_point;Confirm;Confirm
title_activity_find_repeater;Find Repeater;Find Repeater
string_cs_info;CS Info;CS Info
title_activity_radio_home;Radio;Radio
title_activity_cogo_home;CoGo;CoGo
title_google_drive;GoogleDrive;GoogleDrive
title_activity_complex_circle_object;Circle;Circle
title_activity_complex_text_object;Text;Text
title_activity_design_point;Point;Point
title_activity_antenna;Antenna;Antenna
title_activity_configure_uhf;Configure UHF;Configure UHF
title_activity_catalogs;Catalogs;Catalogs
title_activity_geoids;Geoids;Geoids
title_receiver_info;Info;Info
title_activity_points;Points;Points
title_activity_configure_fh;Configure FH;Configure FH
title_activity_job;Job;Job
string_correction_source;Correction Source;Correction Source
title_activity_codes;Codes;Codes
title_activity_configure_wifi;Setup WiFi;Setup WiFi
title_select_format;Select Format;Select Format
title_orginize_view;Orginize View;Orginize View
title_activity_authorize_dropbox;Authorize DropBox;Authorize DropBox
title_activity_code;Code;Code
title_activity_processor_load;Processor Load;Processor Load
title_explorer;Explorer;Explorer
title_activity_stakeout;Stakeout;Stakeout
title_activity_stakeout_surface_target;Surface Target;Surface Target
title_exit;Exit;Exit
title_activity_contouring_heights;Contouring;Contouring
title_activity_quattro;Quattro;Quattro
title_activity_complex_arc_object;Arc;Arc
title_activity_point_survey_info;Survey Info;Survey Info
title_activity_points_from_base;Points from base;Points from base
title_activity_localization_parameters;Localization Setup;Localization Setup
title_activity_v6_info;RTK V6;RTK V6
title_activity_configure_3g;Setup 3G/GPRS;Setup 3G/GPRS
title_activity_compare_points;Compare Point;Compare Point
title_activity_repeater;Repeater;Repeater
title_justinlink_server_settings;Services;Services
title_activity_rtk_base;RTK Base;RTK Base
title_activity_source_table;Source Table;Source Table
string_work_type;Work Type;Work Type
title_activity_start_station;Start Station;Start Station
title_activity_calibration;Calibration;Calibration
latlon_ime;Lat/Lon;Lat/Lon
title_activity_configure_csd;Direct Call;Direct Call
title_ts_echange_progress;Exchange Progress;Exchange Progress
title_activity_configure_jcors;JCORS Server Style;JCORS Server Style
