string_rtk_base;RTK Base;RTK Base
text_build;Build 09/12/2021;Build 09/12/2021
string_rtk_rover;RTK Rover;RTK Rover
wearable_app_label;JMT Wear;JMT Wear
text_survey;Survey P1;Survey P1
string_about;About;About
wearable_correction_list_name;Styles;Styles
text_version;Version 4.3beta44;Version 4.3beta44
button_stop_rtk;Stop RTK;Stop RTK
wearable_app_name;Javad Mobile Tools Wear;Javad Mobile Tools Wear
button_back;&lt|| Back;&lt|| Back
string_rtk_stakeout;Stakeout RTK;Stakeout RTK
hello_world;Hello Square World!;Hello Square World!
wearable_about_name;About;About
text_jmobile_wear_os;JMT for WearOS;JMT for WearOS
wearable_rtk_rover_name;RTK Rover;RTK Rover
button_start_rtk;Start RTK;Start RTK
string_pp_survey;PP Survey;PP Survey
string_rtk_survey;Survey RTK;Survey RTK
