home_title_rangefinder;Rangefinder;Entfernungsmesser
job_name_title;Job;Job
home_title_ts_points;TS Points;TS-Punkte
home_title_radio_firmware;Radio Firmware Loader;Funk-Firmware-Lader
home_title_wizard;Wizard;Assistent
correction_source_title;Correction Source;Korrektur Quelle
home_title_spectrum;Spectrum;Spektrum
survey_button_location;Location of Survey Button;Position der Vermessungstaste
image_view;image_view;image_view
string_splash;&#169|| JAVAD GNSS 2021;&#169|| JAVAD GNSS 2021
view_compass_levels;View Levels/Compass;Ansicht Ebenen/Kompass
action_about;About;Über
home_title_project;Project;Projekt
home_title_terminal;Terminal;Terminal
button_exit;Exit;Beenden
translucency;Translucency of controls;Transluzenz der Bedienelemente
job_name_summary;Job;Arbeitsplatz
home_title_jcommunity;J-Community;J-Gemeinschaft
home_title_start_station_resection;Resection;Resektion
triumph3_oaf_message;This TRIUMPH-3 does not work with JAVAD Mobile Tools without OAF option!\nPlease, contact with JAVAD GNSS or your dealer to purchase the OAF option!;Diese TRIUMPH-3 funktioniert nicht mit JAVAD Mobile Tools ohne OAF-Option! Bitte wenden Sie sich an JAVAD GNSS oder Ihren Händler, um die OAF-Option zu erwerben!
map_settings_title;Map Settings;Karteneinstellungen
home_title_survey_pp;Static Survey;Statische Vermessung
job_archiving_summary;Job Archiving;Job Archivierung
startup_title;Select first window Javad Mobile Tools starts from.\nYou can start work from command menu or go directly to map with project.\nThis setting can be changed any time from dropdown menu on main window.;Wählen Sie das erste Fenster, aus dem Javad Mobile Tools startet.\nSie können die Arbeit aus dem Befehlsmenü starten oder direkt zur Karte mit dem Projekt gehen.\nDiese Einstellung kann jederzeit aus dem Dropdown-Menü im Hauptfenster geändert werden.
receiver_name_summary;Receiver;Empfänger
survey_settings_title;Survey Settings;Vermessungseinstellungen
show_intro;Show Introduction screen at startup;Einführungsbildschirm beim Starten anzeigen
home_title_import;Import;Importieren
permission_required_to_read_write;Please enable access to files permission in Android settings for the application.;Bitte aktivieren Sie die Zugriffsberechtigung auf Dateien in den Android-Einstellungen für die Anwendung.
string_version;Version 1.0.9 build 25 June 2014;Version 1.0.9 build 25. Juni 2014
translation_china;China;China
debug_view_summary;Debug Settings;Debug-Einstellungen
string_disconnect_str;Disconnect;Trennen Sie die Verbindung
string_ver;Version ;Version 
survey_settings_label;Survey/Stakeout Settings;Umfrage-/Abmeldeeinstellungen
home_title_smart_tips;J-Tip;J-Tipp
job_archiving;Job Archiving;Job-Archivierung
antenna_title;Antenna;Antenne
sound_settings_title;Sound Settings;Ton-Einstellungen
home_title_satellites;Satellites;Satelliten
survey_settings_summary;Survey Settings;Vermessungs-Einstellungen
home_title_jmate;J-Mate;J-Mate
home_title_design_points;Design Points;Design-Punkte
home_title_spoofing;Spoofing;Spoofing
string_resection_station_string;Start Resection;Resektion starten
home_title_exit;Turn Off;Ausschalten
home_title_settings;Settings;Einstellungen
home_title_map;Map;Karte
string_update_oaf;Download and Update OAF;OAF herunterladen und aktualisieren
home_title_start_station_quick;Start Station;Station starten
string_stakeout_settings_menu;Stakeout Settings;Absteckung Einstellungen
text_view;text_view;text_ansicht
check_stop_mobile_data;Stop Mobile Data;Mobile Daten stoppen
string_start_station_string;Start Station;Station starten
translation_english;English;Englisch
home_title_rtk;RTK;RTK
omega_oaf_message;This JAVAD OMEGA does not work with JAVAD Mobile Tools without OAF option!\nPlease, contact with JAVAD GNSS or your dealer to purchase the OAF option!;Dieser JAVAD OMEGA funktioniert nicht mit JAVAD Mobile Tools ohne OAF-Option!\nBitte wenden Sie sich an JAVAD GNSS oder Ihren Händler, um die OAF-Option zu erwerben!
info_text_labels_string_main;Stakeout Labels;Absteckung Etiketten
start_with_map;Start with Map;Start mit Karte
dont_allow_licence;Application is not purchased. Please go to Google Play Market to purchase it.;Die Anwendung ist nicht gekauft. Bitte gehen Sie zum Google Play Market, um sie zu erwerben.
expand_description;Expand Description;Erweitern der Beschreibung
home_title_jobs;Job;Auftrag
survey_settings;Survey Settings;Umfrage-Einstellungen
radio_without_map;Survey/Stakeout without Map;Umfrage/Auftrag ohne Karte
sound_settings_summary;Sound Settings;Sound-Einstellungen
home_title_cogo;CoGo;CoGo
home_title_radio;Radio;Radio
additional_views;View Additional Views;Ansicht Zusätzliche Ansichten
correction_internet_title;Internet from;Internet von
allow_license;License is OK;Lizenz ist OK
home_title_receiver;Receiver;Empfänger
info_text_size_string_main;Stakeout Text Size;Absteckung Textgröße
view_code;View Code;Code anzeigen
orginize_view_title;Orginize View;Orginize Ansicht
home_title_rtk_work;RTK Works;RTK Arbeiten
home_title_export;Export;Exportieren
home_title_calibrate_compass;Calibrate Levels;Ebenen kalibrieren
handle_gestures;Handle swipe gestures;Wischgesten handhaben
home_title_power;Power;Leistung
home_title_rtkbases;RTK Bases;RTK-Basen
spectrum_option_is_required;Spectrum OAF option is required!\nPlease contact with JAVAD GNSS;Spectrum OAF-Option ist erforderlich!\nBitte wenden Sie sich an JAVAD GNSS
home_title_usermanual;User Manual;Benutzerhandbuch
home_title_calibrate;Calibrate;kalibrieren.
triumph3_oaf_title;JAVAD TRIUMPH-3 works with JMT only with OAF option in the receiver!;JAVAD TRIUMPH-3 arbeitet mit JMT nur mit der OAF-Option im Empfänger!
map_settings_summary;Map Settings;Karteneinstellungen
receiver_name_title;Receiver;Empfänger
home_title_pairmodem;Pair Modem;Modem koppeln
version_number;Javad Mobile Tools for Android;Javad Mobile Tools für Android
home_title_jtip;J-Tip;J-Tipp
start_with_menu;Start with Menu;Start mit Menü
string_build;Build;Bauen
home_title_survey_points;Survey Points;Punkte vermessen
check_turn_off_controller;Turn Off Controller;Controller ausschalten
debug_view_title;Debug;Debuggen
home_title_quattro;Quattro;Quattro
view_more_survey_controls;View antenna and settings;Antenne und Einstellungen anzeigen
home_title_stakeout;Stakeout;Abstecken
antenna_summary;Antenna;Antenne
string_purchase_jmt;Purchase Option;Kaufoption
survey_button_color;Color of Survey Button;Farbe der Vermessungstaste
home_title_cs;Coord.Sys;Koordinatensysteme
map_sound_settings;Map / Sounds;Karte / Töne
rtk_rover;RTK Rover;RTK-Rover
home_title_rtkbase;RTK Base;RTK-Basis
connection_error_str;Connection error!Please try to reconnect latter or select another device!;Bitte versuchen Sie, die Verbindung erneut herzustellen oder wählen Sie ein anderes Gerät!
view_description;View Description;Ansicht Beschreibung
check_turn_off;Turn Off Receiver;Receiver ausschalten
check_stop_logging;Stop Logging;Aufzeichnung stoppen
check_stop_rtk_radio;Stop RTK and Radio;RTK und Funk stoppen
only_t3_omega_has_spectrum_out;Only JAVAD TRIUMPH-3 and JAVAD OMEGA have Spectrum Output ability;Nur JAVAD TRIUMPH-3 und JAVAD OMEGA haben die Möglichkeit der Spektrumsausgabe
home_title_ts;TS/JMate;TS/JMate
correction_internet_summary;Internet from;Internet von
home_title_survey_rtk;RTK Survey;RTK Vermessung
string_show_menu_at_startup;Show Menu at startup;Menü beim Starten anzeigen
orginize_view_summary;Orginize View;Orginize Ansicht
translation_1;Language 1;Sprache 1
translation_turkish;Turkish;Türkisch
translation_2;Language 2;Sprache 2
home_title_corrections;Corrections;Korrekturen
home_title_repeater;Repeater;Wiederholer
translation_3;Language 3;Sprache 3
home_title_catalog;Catalogs;Kataloge
show_satellite_variants;Show Satellites Number as;Satellitennummer anzeigen als
omega_oaf_title;JAVAD OMEGA works with JMT only with OAF option in the receiver!;JAVAD OMEGA arbeitet mit JMT nur mit OAF-Option im Empfänger!
debug_settings;Debug;Debuggen
home_title_reconnectwifi;Reconnect WiFi;WiFi-Verbindung wiederherstellen
home_title_justinlink_server;Services;Dienste
action_settings;Settings;Einstellungen
check_exit_app;Exit JMT application;JMT-Anwendung beenden
jmate_is_not_connected_string;JMATE is not connected!;JMATE ist nicht verbunden!
navigation_drawer_open;Open navigation drawer;Navigationsschublade öffnen
home_title_codes;Codes;Codes
home_title_devices;Devices;Geräte
translation_russian;Russian;Russisch
home_title_quatro_duo;Quattro/Duo;Quattro/Duo
home_title_localize;Localize;Lokalisieren
view_name;View Name;Ansicht Name
home_title_rtkrover;RTK Rover;RTK-Rover
ui_settings;User Interface Settings;Einstellungen der Benutzeroberfläche
home_title_geoids;Geoids;Geoids
home_title_filemanager;Receiver Files;Empfänger-Dateien
home_title_survey;Survey;Vermessung
radio_with_map;Survey/Stakeout on Map;Vermessung/Absteckung auf Karte
check_enable_nmea;Enable NMEA messages on the port;NMEA-Meldungen auf dem Anschluss aktivieren
correction_source_summary;Correction Source;Korrektur Quelle
home_title_process;Process;Prozess
