string_permission_denied_to_read_from_your_external_storage;Permission denied to read from your External storage;Permission denied to read from your External storage
string_measurement_failed_;Measurement failed!;Measurement failed!
string_login;Login;Login
string_measured__1_d____2_d;Measured %1$d / %2$d;Measured %1$d / %2$d
string_network_port_;Network Port:;Network Port:
string_permission_denied_to_obtain_list_of_bluetooth_devices_around;Permission denied to obtain list of Bluetooth devices around;Permission denied to obtain list of Bluetooth devices around
string_permission_denied_to_obtain_list_of_wifi_devices_around;Permission denied to obtain list of WiFi devices around;Permission denied to obtain list of WiFi devices around
string_starting___;Starting&#8230||;Starting&#8230||
string_permission_denied_to_write_to_your_external_storage;Permission denied to write to your External storage;Permission denied to write to your External storage
string_password;Password;Password
string_wifi_is_disabled__making_it_enabled___;WiFi is disabled. Making it enabled&#8230||;WiFi is disabled. Making it enabled&#8230||
string_cancel;Cancel;Cancel
string_connect;CONNECT;CONNECT
string_ip_address;IP Address;IP Address
string_error_;Error!;Error!
