string_show_objects;Show Objects;Objekte anzeigen
dwg_backgroubnd_color;User CAD Background color;Anwender-CAD Hintergrundfarbe
string_show_rtkbases;RTK Bases;RTK-Basen
action_calendar;Calendar;Kalender
mapbox_map_source;MapBox Map Source;MapBox Kartenquelle
canvas_2d_maps;2D Map;2D-Karte
action_delete;Delete;Löschen
osm_sat;USGS Sat;USGS Sat
mapbox_access_token;pk.eyJ1IjoicGxhdG9uMSIsImEiOiJjazRudm15Y2QyNDBiM2tudHJiNzhwcHBhIn0.ec2y5aXXNO6u2WkYdoPpOQ;pk.eyJ1IjoicGxhdG9uMSIsImEiOiJjazRudm15Y2QyNDBiM2tudHJiNzhwcHBhIn0.ec2y5aXXNO6u2WkYdoPpOQ
string_show_survey_points;Survey Points;Vermessungspunkte
osm_cycle;CycleMap;CycleMap
goolge_map_map;Map;Karte
action_map_zoomall;Zoom All;Alles vergrößern
thursday_short;THU;THU
string_cs_sort;CS;CS
google_map_background;Google Map Background;Google Map Hintergrund
string_show_ts_points;TS Points;TS Punkte
string_time_sort;Time;Zeit
action_search;Search;Suche
string_distance_sort;Distance;Entfernung
canvas_3d_maps;3D Map;3D-Karte
action_inverse_all;Inverse Selection;Inverse Auswahl
user_cad_drawing;User CAD Drawing;Anwender-CAD-Zeichnung
color_black;Black;Schwarz
mapbox_provider;MapBox;MapBox
button_apply;Apply;Anwenden
action_unselect;Hide Selection;Auswahl ausblenden
user_cad_drawing_hint;Drawings in Autocad DWG or DXF file format;Zeichnungen im Autocad-Dateiformat DWG oder DXF
color_dark_grey;Dk.Grey;Dk.Grau
sunday_short;SUN;SUN
string_show_drawings;Drawings;Zeichnungen
string_desc_sort;Desc;Desc
button_select;[ . . . ];[ . . . ]
action_map;Map;Karte
color_light_grey;Lt.Grey;Lt.Grau
string_count_sort;Use Count;Anzahl verwenden
action_unselect_all;UnSelect All;Alle abwählen
hello;Open calendar;Kalender öffnen
user_java_cad_drawing;User CAD+ Drawing;Benutzer CAD+ Zeichnung
string_name_sort;Name;Name
string_show_codes;Codes;Codes
button_cancel;Cancel;Abbrechen
string_comment_sort;Comment;Kommentar
canvas_maps;No background;Kein Hintergrund
button_new_file;New;Neu
tuesday_short;TUE;TUE
string_size_sort;Size;Größe
action_settings;Settings;Einstellungen
string_background;Background;Hintergrund
string_show_localization_points;Localization pnts;Lokalisierung pnts
action_select;Select;Wählen Sie
monday_short;MON;MON
action_refresh;Refresh;Aktualisieren
goolge_enable_clusters;Enable Clusters;Aktivieren von Clustern
google_maps;Google Maps;Google-Karten
user_tiled_map_hint;Map tiles in .mbtiles or .sqlitedb file format;Kartenkacheln im Dateiformat .mbtiles oder .sqlitedb
string_type_sort;Type;Typ
goolge_map_relief;Relief;Relief
osm_mapnik;Mapnik;Mapnik
friday_short;FRI;FRI
open_street_maps;Open Street Map;Offene Straßenkarte
string_show_heights;Heights;Höhen
action_dialog;Dialog;Dialog
action_sort;Sort;Sortieren
string_code_sort;Code;Code
color_white;White;Weiß
string_show_catalog_points;Catalog Points;Katalog Punkte
osm_map_source;OSM Map Source;OSM-Kartenquelle
string_format_sort;Format;Format
string_show_surface;Surface triangles;Oberflächen-Dreiecke
wednesday_short;WED;WED
string_show_names;Names;Namen
user_tiled_map;User Tiled Map;Benutzer Gekachelte Karte
canvas_map_texts;Draw Texts;Zeichnen von Texten
string_show_design_points;Design Points;Punkte entwerfen
goolge_map_hybrid;Hybrid;Hybride
yandex_maps;Yandex Maps;Yandex-Karten
string_address_sort;Address;Adresse
saturday_short;SAT;SAT
action_select_all;Select All;Alle auswählen
goolge_map_satellite;Satellite;Satellit
open;Open;Öffnen Sie
