text_select_modem;Select HPT modem to pair;Select HPT modem to pair
modulation;Modulation;Modulation
fec;Error Correction (FEC);Error Correction (FEC)
scrambling;Scrambling;Scrambling
action_settings;Settings;Settings
none;None;None
protocol;Protocol;Protocol
hello_world;Hello world!;Hello world!
text_receiver_info;Connected to receiver;Connected to receiver
text_select_repeater;Select HPT Repeater to setup;Select HPT Repeater to setup
rx_frequency_hz;RX Frequency, Hz;RX Frequency, Hz
action_wifi;WiFi;WiFi
call_sign;Call Sign;Call Sign
string_internal_radio;Internal Radio;Internal Radio
rtr_echo;RTR Echo;RTR Echo
tx_frequency_hz;TX Frequency, Hz;TX Frequency, Hz
output_power_w;Output Power;Output Power
bluetooth_resttings;Settings;Settings
simplex_protocol_parameters;Simplex Protocol Parameters;Simplex Protocol Parameters
action_bluetooth;Bluetooth;Bluetooth
button_apply;Apply;Apply
no_connection;No connection to a Javad receiver;No connection to a Javad receiver
channel_spacing;Channel Spacing;Channel Spacing
string_paired_radio;Paired to receiver Radio;Paired to receiver Radio
text_run_survey_with;Connect Rangefinder as TS;Connect Rangefinder as TS
text_select_modem_2;Select radio to update firmware;Select radio to update firmware
refresh_bluetooth;Refresh;Refresh
string_bluetooth_radio;Bluetooth Radio;Bluetooth Radio
text_select_rangefinder;Select a Rangefinder;Select a Rangefinder
button_read_from_radio;From Radio;From Radio
string_load_firmware_anyway;Load firmware anyway;Load firmware anyway
text_select_jlink;Select JLink radio to pair with;Select JLink radio to pair with
