string_eraser_size_;Eraser size:;Eraser size:
string_do_you_want_to_delete_file_;Do you want to delete file ;Do you want to delete file 
string_start_new_drawing__you_will_lose_the_current_drawing__;Start new drawing (you will lose the current drawing)?;Start new drawing (you will lose the current drawing)?
string_permission_denied_to_access_to_camera;Permission denied to access to camera;Permission denied to access to camera
string_saved_;Saved!;Saved!
string_save_drawing;Save drawing;Save drawing
string_delete;Delete;Delete
string_delete_audio;Delete audio;Delete audio
string_close;Close;Close
string_save_drawing_to_device_gallery_;Save drawing to device Gallery?;Save drawing to device Gallery?
string_cancel;Cancel;Cancel
string_brush_size_;Brush size:;Brush size:
string_can_t_remove_the_file_;Can\'t remove the file!;Can\'t remove the file!
string_new_drawing;New drawing;New drawing
string_yes;Yes;Yes
string_delete_image;Delete image;Delete image
string_file_has_removed;File has removed;File has removed
string_take_photo_failed;Take photo failed;Take photo failed
