string_ts_points;TS Points;TS-Punkte
string_design_points;Design Points;Design-Punkte
string_down;Down;Nach unten
string_rtk_bases;RTK Bases;RTK-Basen
string_all_points;All Points;Alle Punkte
string_select_point__s;Select point %s;Punkt auswählen %s
string_survey_points;Survey Points;Vermessene Punkte
string_surveyed_points;Surveyed Points;Vermessene Punkte
string_unselect;Unselect;Abwählen
string_coordinate;Coordinate;Koordinate
string_point_;Point ;Punkt 
string_close;Close;Schließen
string_up;Up;Auf
