text_opusmail_server;OPUS Mail Reader;OPUS Mail Reader
check_bosch_g100_thread;Bosch GLM100C reading thread;Bosch GLM100C reading thread
check_status_bar_update_threads;Status Bar Update thread;Status Bar Update thread
check_justinlink_threads;JustinLink exchange threads;JustinLink exchange threads
text_mock_location_provider_replace;Replace;Replace
text_ntrip_nethub;Ntrip/RCV/Nethub;Ntrip/RCV/Nethub
justinlink_server_log;Log;Log
justinlink_server_on;On;On
check_receiver_threads;GNSS Receiver threads;GNSS Receiver threads
mock_location_provider_receiver;Replace Receiver Position with followng coordinates:;Replace Receiver Position with followng coordinates:
check_survey_model_threads;Survey Model thread;Survey Model thread
text_mock_location_provider_select_point;Select Point;Select Point
text_j_community;J-Community;J-Community
check_ringtone_manager_thread;Ringtone Manager thread;Ringtone Manager thread
opusmail_server_on;On;On
j_community_log;Log;Log
nethub_server_on;NetHub Server on;NetHub Server on
text_mock_location_provider_receiver;\nReplace Receiver Coordinate;\nReplace Receiver Coordinate
check_jcommunity_thread;JCommunity thread;JCommunity thread
ntrip_client_on;Ntrip/RCV client on;Ntrip/RCV client on
check_rcv_server_threads;RCV Server thread;RCV Server thread
text_mock_location_provider;Mock Location Provider;Mock Location Provider
text_wsdd_server;WSDD Server;WSDD Server
action_threads;Threads;Threads
j_community_on;On;On
text_jcommunity;J-Community;J-Community
ntripnethub_log;Ntrip/RCV/Nethub Log;Ntrip/RCV/Nethub Log
check_opus_mail_read_thread;OPUS Mail Read thread;OPUS Mail Read thread
mock_location_provider_on;On;On
mock_location_provider_log;Log;Log
check_ntrip_client_threads;Ntrip/RCV Client thread;Ntrip/RCV Client thread
check_nethub_client_threads;NetHub Client thread;NetHub Client thread
check_smarttip_thread;SmartTip threads;SmartTip threads
opusmail_server_log;Log;Log
text_justinlink_server;JustinLink Exchange Server;JustinLink Exchange Server
