string_wsdd_server_is_stopped;WSDD Server is stopped;WSDD Server is stopped
string_wsdd_server_works_on__s;WSDD Server works on %s;WSDD Server works on %s
string_to_activate_mock_location_provider_go_to_settings__activate_developer_mode__go_to_developer_settings_and_set_on_mock_location_check;To activate Mock Location Provider go to Settings, activate Developer mode, go to Developer settings and set on Mock Location check;To activate Mock Location Provider go to Settings, activate Developer mode, go to Developer settings and set on Mock Location check
string_enable_mock_location_permission_for_the_applicatioin_;Enable MOCK_LOCATION permission for the applicatioin!;Enable MOCK_LOCATION permission for the applicatioin!
string_position_replaced_ok;Position Replaced OK;Position Replaced OK
string_permission_denied_to_access_to_fine_location_;Permission denied to access to fine location!;Permission denied to access to fine location!
string_justinlink_exchange_server_works_on__s;JustinLink Exchange Server works on %s;JustinLink Exchange Server works on %s
string_permission_denied_to_access_to_coarse_location_;Permission denied to access to coarse location!;Permission denied to access to coarse location!
string_justinlink_exchange_server_is_stopped;JustinLink Exchange Server is stopped;JustinLink Exchange Server is stopped
string_can_t_convert_selected_point_coordinate_into_wgs84_;Can\'t convert selected point coordinate into WGS84!;Can\'t convert selected point coordinate into WGS84!
string_select_point;Select Point;Select Point
string_permission_denied_to_access_to_mock_location_;Permission denied to access to mock location!;Permission denied to access to mock location!
string_error_in_position_replaced;Error in Position Replaced;Error in Position Replaced
