string_exit_application;Exit application;Anwendung beenden
string_wifi_mobile_ap_is_disabled__making_it_enabled___;WiFi Mobile AP is disabled. Making it enabled&#8230||;WiFi Mobile AP ist deaktiviert. Aktivieren Sie es&#8230||
string_are_you_sure_you_want_to_delete_configuration___;Are you sure you want to delete configuration \&quot||;Sind Sie sicher, dass Sie die Konfiguration löschen wollen&quot||
string_the_same_ap_will_be_used_;The same AP will be used.;Es wird der gleiche AP verwendet.
string_permission_denied_to_setup_wifi;Permission denied to setup WiFi;Berechtigung zur Einrichtung von WiFi verweigert
string_wifi_settings_couldn_t_be_detected_;WiFi settings couldn\'t be detected!;WiFi-Einstellungen konnten nicht erkannt werden!
string_password;Password;Passwort
string_configuration_with_name__s_already_exist_;Configuration with name %s already exist!;Konfiguration mit dem Namen %s existiert bereits!
string_mobile_hotspot_is_;Mobile HotSpot is ;Mobiler HotSpot ist 
string_reprogram_wifi_for_iphone_ipad;Reprogram WiFi for iPhone/iPad;WiFi für iPhone/iPad neu programmieren
string_connnected_to_;Connnected to ;Verbunden mit 
string_do_you_want_ot_continue_;Do you want ot continue?;Möchten Sie fortfahren?
string_ap_;AP ;AP 
string_reconnect_with_wifi_using_ap;Reconnect with WiFi using AP;Verbinden Sie sich neu mit WiFi über AP
string_this_will_switch_your_javad_gnss_receiver_wifi_into_adhoc_mode_;This will switch your JAVAD GNSS receiver WiFi into AdHoc mode.;Dadurch wird das WiFi Ihres JAVAD GNSS-Empfängers in den AdHoc-Modus geschaltet.
string_are_you_sure_you_want_to_delete_configurations__n;Are you sure you want to delete configurations:\n;Sind Sie sicher, dass Sie die Konfigurationen löschen wollen:\n
string_net;Net;Netz
string_wifi_is_disabled____making_it_enabled;wifi is disabled&#8230|| making it enabled;wifi ist deaktiviert&#8230| machen Sie es aktiv
string_check_that_the_application_has_write_settins_permission_;;
string_this_will_use_your_wifi_settings_to_reprogram_your_receiver_for_wifi_connection_;This will use your WiFi settings to reprogram your receiver for WiFi connection.;Dies wird Ihre WiFi-Einstellungen verwenden, um Ihren Empfänger für die WiFi-Verbindung neu zu programmieren.
string_mobile_ap_address_name_couldn_t_be_detected_;Mobile AP address/name couldn\'t be detected!;Mobile AP-Adresse/Name konnte nicht erkannt werden!
string_ip_address;IP Address;IP-Adresse
string_do_you_want_to_exit_the_application_;Do you want to exit the application?;Möchten Sie die Anwendung beenden?
string_reconnect_with_wifi_using_android;Reconnect with WiFi using Android;Verbinden Sie sich erneut mit WiFi unter Android
string_configuration__s_could_not_be_read;Configuration %s could not be read;Konfiguration %s konnte nicht gelesen werden
string_this_will_switch_your_android_device_into_mobile_hotspot_mode;This will switch your Android device into Mobile HotSpot mode;Dadurch wird Ihr Android-Gerät in den Mobile HotSpot-Modus geschaltet
string_wifi_ssid_is_;WiFi SSID is ;WiFi SSID ist 
string_password_length_must_be_8_chars_;Password length must be 8 chars!;Passwortlänge muss 8 Zeichen betragen!
string_can_t_activate_wifi_mobile_ap_;Can\'t activate WiFi Mobile AP!;Kann WiFi Mobile AP nicht aktivieren!
string_are_you_sure_you_want_to_delete_this_entry_;Are you sure you want to delete this entry?;Sind Sie sicher, dass Sie diesen Eintrag löschen wollen?
string_error_in_programming_the_receiver_for_the_wifi_;Error in programming the receiver for the WiFi!;Fehler bei der Programmierung des Empfängers für das WiFi!
string_that_allows_iphone_ipad_to_be_connected_to_this_receiver_with_wifi_;That allows iPhone/iPad to be connected to this receiver with WiFi.;Dadurch kann das iPhone/iPad mit diesem Receiver über WiFi verbunden werden.
string_delete_entry;Delete entry;Eintrag löschen
string_are_you_sure_you_want_to_delete__d_configurations_;Are you sure you want to delete %d configurations?;Sind Sie sicher, dass Sie %d Konfigurationen löschen wollen?
string_wait__;Wait!!;Warten Sie!!!
string_configuration_could_not_be_read;Configuration could not be read;Konfiguration konnte nicht gelesen werden
string_rename_error_;Rename Error!;Fehler beim Umbenennen!
string_please_wait__;Please Wait!!;Bitte warten Sie!!
string_and_reprogram_your_receiver_to_connect_to_it_with_wifi_;and reprogram your receiver to connect to it with WiFi.;und programmieren Sie Ihren Receiver neu, um sich mit ihm über WiFi zu verbinden.
string_login;Login;Anmeldung
string_network_port_;Network Port:;Netzwerkanschluss:
string_wifi_password_is__s_;WiFi password is %s.;WiFi-Passwort ist %s.
string_permission_denied_to_configure_wifi;Permission denied to configure WiFi;Erlaubnis verweigert, WiFi zu konfigurieren
string_permission_denied_to_obtain_list_of_bluetooth_devices_around;Permission denied to obtain list of Bluetooth devices around;Berechtigung verweigert, Liste der Bluetooth-Geräte zu erhalten um
string_wifi_nmobile;WiFi\nMobile;WiFi\nMobil
string_wifi_ap_is_disabled____making_it_enabled;wifi AP is disabled&#8230|| making it enabled;WiFi-AP ist deaktiviert&#8230| Aktivieren Sie ihn
string_wifi_is_disabled__making_it_enabled___;WiFi is disabled. Making it enabled&#8230||;WiFi ist deaktiviert. Aktivieren&#8230|
string_wifi;WiFi;WiFi
string_connect;CONNECT;CONNECT
string_blt;Blt;Blt
string_receiver_is_programmed_ok__resettings_it_;Receiver is programmed OK. Resettings it.;Empfänger ist OK programmiert. Setzt ihn zurück.
