string_name;Name;Name
string_hi_;HI:;HI:
string_close;Close;Schließen
string_5_hz_mode;5 Hz mode;5 Hz-Modus
string_ascii_file___txt____sdr____;ASCII file *.txt, *.sdr &#8230||;ASCII-Datei *.txt, *.sdr &#8230||
string_do_you_want_to_delete__s;Do you want to delete %s;Wollen Sie %s löschen
string_error;Error;Fehler
string_exporting___;Exporting&#8230||;Exportieren&#8230||
string_ascii_file___txt____;ASCII file *.txt &#8230||;ASCII-Datei *.txt &#8230|
string_field_name_is_too_long_;Field name is too long!;Feldname ist zu lang!
string_basedistance;BaseDistance;BasisDistanz
string_esri_arcgis___shp;ESRI ArcGis *.shp;ESRI ArcGis *.shp
string_float;Float;Float
string_delete_point__s;Delete point %s;Punkt %s löschen
string_compass_receiver;Compass Receiver;Kompass-Empfänger
string_wrong_code_number_;Wrong code number!;Falsche Codenummer!
string_stakeout_cutfill;Stakeout CutFill;Absteckung CutFill
string_catalog_points;Catalog Points;Punkte katalogisieren
string_empty_drawing___dwg;Empty Drawing *.dwg;Leere Zeichnung *.dwg
string_do_you_want_to_modify_antenna_and_correct_height_for_all_the_points_;Do you want to modify antenna and correct height for all the points?;Wollen Sie die Antenne ändern und die Höhe für alle Punkte korrigieren?
string_can_t_change__d_design_points_;can\'t change %d design points!;kann %d Konstruktionspunkte nicht ändern!
string_end_time;End Time;Ende Zeit
string_exportdxf;ExportDxf;ExportDxf
string_all__s_were_deleted;All %s were deleted;Alle %s wurden gelöscht
string_move_back;Move back;Zurückschieben
string_description;Description;Beschreibung
string_cancel;Cancel;Abbrechen
string_archive_sd_card_is_unavailable_;Archive SD card is unavailable!;Archiv SD-Karte ist nicht verfügbar!
string_use_fix_only;Use Fix Only;Nur Fix verwenden
string_ascii_file____txt_;ASCII file (*.txt);ASCII-Datei (*.txt)
string_all_your_jobs_will_be_moved_to_javad_jobs_folder_from_sd_card_;All your jobs will be moved to javad/jobs folder from SD card.;Alle Ihre Aufträge werden von der SD-Karte in den Ordner javad/jobs verschoben.
string_stakeout_direction;Stakeout Direction;Absteckung Richtung
string_base_distance;Base Distance;Basisabstand
string_select_format;Select Format;Format wählen
string_do_you_want_to_delete_vertex___d_;Do you want to delete vertex #%d?;Möchten Sie den Vertex #%d löschen?
string_text__code_only____txt;Text (code only) *.txt;Text (nur Code) *.txt
string_on;on;auf
string_station;Station;Station
string_correction_source_id;Correction Source Id;Korrektur Quellennummer
string_csv_file___csv;CSV file *.csv;CSV-Datei *.csv
string_stakeout_de;Stakeout dE;Absteckung dE
string_edit_job;Edit Job;Auftrag bearbeiten
string_antenna_height;Antenna Height;Antennenhöhe
string_start_time;Start Time;Startzeit
string_edit_only_point_n_s;Edit only point\n%s;Nur Punkt bearbeiten\n%s
string_do_you_want_to_restore_rtk_base_before_modification_;Do you want to restore RTK base before modification?;Möchten Sie die RTK-Basis vor der Änderung wiederherstellen?
string_can_t_load_importexport_library_;Can\'t load importexport library!;Kann die Importexport-Bibliothek nicht laden!
string_de_;dE=;dE=
string_empty_name_;Empty name!;Leerer Name!
string_wrong_vertical_offset_;Wrong vertical offset!;Falscher vertikaler Offset!
string_import_error;Import error;Import-Fehler
string_on__;on (;ein (
string_file_doesn_t_exist_;File doesn\'t exist!;Datei existiert nicht!
string__d_design_points_in_the_job;%d design points in the job;%d Konstruktionspunkte im Auftrag
string_dwg_import_is_unsuppurted;Dwg import is unsuppurted;Dwg-Import wird nicht unterstützt
string_listen_audio;Listen Audio;Audio anhören
string__1_s_free_from__2_s_total;%1$s free from %2$s total;%1$s frei von %2$s gesamt
string_file_name_;File name:;Dateiname:
string_modify;Modify;Ändern
string_wrong_slant_height_;Wrong slant height!;Falsche Schräglagenhöhe!
string_code;Code;Code
string_permission_denied_to_write_to_your_external_storage;Permission denied to write to your External storage;Berechtigung zum Schreiben auf den externen Speicher verweigert
string_layers;Layers;Lagen
string_hz;Hz;Hz
string_stakeout_dh;Stakeout dH;Absteckung dH
string_stakeout_dn;Stakeout dN;Absteckung dN
string_id;Base Id;Basis-Id
string_all_your_jobs_will_be_moved_from_javad_jobs_folder_to_sd_card_;All your jobs will be MOVED from javad/jobs folder to SD card.;Alle Ihre Jobs werden aus dem Ordner javad/jobs auf die SD-Karte VERLEGT.
string_delete_all__s;Delete all %s;Alle %s löschen
string_time_;Time:;Zeit:
string_meas_;meas.;meas.
string_save_modification;Save Modification;Änderung speichern
string_successfully_imported__d_code;Successfully imported %d code;Erfolgreich %d Code importiert
string_rms_;RMS:;RMS:
string_job;job;Job
string_auth_with_;Auth.with ;Auth.mit 
string_ts_survey_info;TS Survey Info;TS Umfrage Info
string_don_t_use_job_archiving;Don\'t use Job Archiving;Job-Archivierung nicht verwenden
string_use_any_epoches;Use Any Epoches;Beliebige Epochen verwenden
string_occ_time_;Occ.time:;Occ.zeit:
string_epochs_collected;Epochs collected;Erfasste Epochen
string_wrong_max_value_length_;Wrong max value length!;Falsche maximale Wertelänge!
string_antenna_info;Antenna Info;Antennen-Infos
string_delete__1_d_filtered_points__of__2_d_;Delete %1$d filtered points (of %2$d);Lösche %1$d gefilterte Punkte (von %2$d)
string_all_empty__s_were_deleted;All empty %s were deleted;Alle leeren %s wurden gelöscht
string_can_t_add_rtk_base__s_to_catalog_;Can\'t add rtk base %s to catalog!;Kann rtk-Basis %s nicht zum Katalog hinzufügen!
string_epoch_filter;Epoch Filter;Epochen-Filter
string_delete_vertex;Delete vertex;Scheitelpunkt löschen
string_delete_job;Delete Job;Job löschen
string_permission_denied_to_read_from_your_external_storage;Permission denied to read from your External storage;Berechtigung verweigert, von Ihrem externen Speicher zu lesen
string_de___3f;dE:%.3f;dE:%.3f
string_comment;Comment;Kommentar
string_points_from_base__1_s_id__2_d;Points from base %1$s id:%2$d;Punkte von Basis %1$s id:%2$d
string_edit__d_points;Edit %d points;%d Punkte bearbeiten
string_save;Save;Speichern
string_job_archiving_is_activated_to_folder___s__;Job Archiving is activated to folder \'%s\'!;Job-Archivierung ist im Ordner \'%s\' aktiviert!
string_uhf_prot_;UHF Prot.;UHF Prot.
string_error_while_sharing_job_;Error while sharing job!;Fehler beim Teilen des Jobs!
string_antenna_vertical_offset;Antenna Vertical Offset;Antenne Vertikalversatz
string_carlson_fcl___fcl;Carlson FCL *.fcl;Carlson FCL *.fcl
string_hr_;HR:;HR:
string_job_name_is_too_long__nlimit_it_up_to_40_chars__please;Job name is too long!\nLimit it up to 40 chars, please;Jobname ist zu lang!\nBeschränken Sie ihn bitte auf 40 Zeichen
string_rtcm3_geoid_undulation;RTCM3 Geoid Undulation;RTCM3 Geoid-Welligkeit
string_no_file_selected_;No file selected!;Keine Datei ausgewählt!
string_vrms;VRMS;VRMS
string_va;VA;VA
string_ntrip_server;Ntrip Server;Ntrip Server
string_delete__1_d_selected_codes__of__2_d_;Delete %1$d selected Codes (of %2$d);Lösche %1$d ausgewählte Codes (von %2$d)
string_mapinfo____mif___tab_;MapInfo (*.mif||*.tab);MapInfo (*.mif||*.tab)
string_verify_mode;Verify Mode;Modus verifizieren
string_gnss_receiver;GNSS Receiver;GNSS-Empfänger
string_netcad____ncn_;NetCAD (*.ncn);NetCAD (*.ncn)
string_dn___3f;dN:%.3f;dN:%.3f
string_field_already_exist_;Field already exist!;Feld ist bereits vorhanden!
string_fixed;Fixed;Festgelegt
string_add_new_point;Add new point;Neuen Punkt hinzufügen
string_export;Export;Exportieren
string_don_t_modify;Don\'t modify;Nicht ändern
string_manual_;manual ;manuell 
string_imu_survey;IMU Survey;IMU Vermessung
string_manual_stop;Manual Stop;Manuell Stopp
string_v_rms_;V.RMS:;V.RMS:
string_first_fix;First Fix;Erster Fix
string_can_t_find_field_;Can\'t find field!;Kann das Feld nicht finden!
string_autocad_drawing___dwg;AutoCad Drawing *.dwg;AutoCad-Zeichnung *.dwg
string_view_edit_point;View/Edit point;Punkt ansehen/bearbeiten
string_wrong_max_length_;Wrong max.length!;Falsche max.Länge!
string_rtpk_solution_type;RTPK Solution Type;RTPK Lösung Typ
string_sec;sec;sec
string_view_edit__1_d__2_s;View/Edit %1$d %2$s;Betrachten/Bearbeiten %1$d %2$s
string_rcv_server;RCV Server;RCV-Server
string_code_number_is_not_typed_;Code number is not typed!;Code-Nummer ist nicht eingegeben!
string_dh_;dH=;dH=
string_archive;Archive;Archiv
string_aver__s;Aver.%s;Aver.%s
string_status;Status;Status
string_mark_height;Mark Height;Höhe markieren
string_overwrite;Overwrite;Überschreiben
string_protocol;Protocol;Protokoll
string_solution_type;Solution Type;Lösung Typ
string_engines_;engines);Motoren)
string_processed_ok;Processed OK;Verarbeitet OK
string_h_rms_;H.RMS:;H.RMS:
string_vdop;VDOP;VDOP
string_sd;SD;SD
string__d_points;%d points;%d Punkte
string_stakeout;Stakeout;Absteckung
string_cov_matrix;Cov.Matrix;Kov.Matrix
string_solution_;Solution:;Lösung:
string_rtkbase;rtkbase;rtkbase
string_antenna_height_type;Antenna Height Type;Antennenhöhe Typ
string_pnez_comma_text_file____txt_;PNEZ comma text file (*.txt);PNEZ-Komma-Textdatei (*.txt)
string_restore;Restore;Wiederherstellen
string_wrong_antenna_height_;Wrong antenna height!;Falsche Antennenhöhe!
string_csd_phone;CSD Phone;CSD Telefon
string_dn_;dN=;dN=
string_correction_source_mount_point;Correction Source Mount Point;Korrektur Quell-Montagepunkt
string_do_you_want_to_delete_all__1_d__2_s_;Do you want to delete all %1$d %2$s?;Möchten Sie alle %1$d %2$s löschen?
string_delete;Delete;Löschen
string_hybrid_rtk_;Hybrid RTK:;Hybrid RTK:
string_fh_frule;FH FRule;FH FRule
string_delete__1_d_filtered_codes__of__2_d_;Delete %1$d filtered Codes (of %2$d);Löschen von %1$d gefilterten Codes (von %2$d)
string_hrms___3f;HRMS:%.3f;HRMS:%.3f
string_survey_settings;Survey Settings;Vermessungseinstellungen
string_mark_offset;Mark Offset;Markierungs-Offset
string_canceled_by_user;Canceled by user;Vom Benutzer abgebrochen
string_rtk_bases;RTK Bases;RTK-Basen
string_imported_with_errors;Imported with errors;Importiert mit Fehlern
string__d_ts_point_changed_ok;%d TS point changed ok;%d TS-Punkt geändert ok
string_mount_point;Mount point;Punkt montieren
string_text_file___txt;Text file *.txt;Textdatei *.txt
string_pnez_comma_delimited_text_file___txt____;PNEZ comma delimited text file *.txt &#8230||;PNEZ kommagetrennte Textdatei *.txt &#8230||
string_no_identical_points;no identical points;keine identischen Punkte
string_xml_file___xml;XML file *.xml;XML-Datei *.xml
string_dbf_file___dbf;DBF File *.dbf;DBF-Datei *.dbf
string_engine_count;Engine Count;Motor Anzahl
string_add_to_catalog__s;Add to catalog %s;Zum Katalog hinzufügen %s
string_no_points_to_delete_;No points to delete!;Keine Punkte zu löschen!
string_mark_id_is_not_selected_;Mark Id is not selected!;Mark Id ist nicht ausgewählt!
string__s_is_not_a_folder_;%s is not a folder!;%s ist kein Ordner!
string_ts_points;TS Points;TS Punkte
string_restore_complex_object;Restore Complex Object;Komplexes Objekt wiederherstellen
string_coordinate;Coordinate;Koordinaten
string_compass_controller;Compass Controller;Kompass-Steuerung
string_do_you_want_to_save_changes_in_the_complex_object_;Do you want to save changes in the complex object?;Möchten Sie Änderungen im komplexen Objekt speichern?
string_survey_info;Survey Info;Vermessungs-Infos
string_test;Test;Test
string_correction_source_name;Correction Source Name;Korrektur Quellenname
string_google_kml____kml_;Google KML (*.kml);Google KML (*.kml)
string_sn;SN;SN
string_v_rms;V.RMS;V.RMS
string_points;points;Punkte
string_no_localization;No Localization;Keine Lokalisierung
string_off;off;aus
string_rtpk_pos;RTPK Pos;RTPK Pos
string_view_on_map;View on Map;Ansicht auf Karte
string_3drms;3DRMS;3DRMS
string_station_;Station:;Station:
string_job__s_already_exists_;Job %s already exists!;Job %s existiert bereits!
string_leica_gsi___gsi;Leica GSI *.gsi;Leica GSI *.gsi
string_codes;Codes;Codes
string_last_time;Last time;Letzte Zeit
string_landxml___xml;LandXML *.xml;LandXML *.xml
string_raw_data_rw5___rw5;Raw Data RW5 *.rw5;Rohdaten RW5 *.rw5
string__d_rtk_points_from_this_base;%d RTK points from this base;%d RTK-Punkte von dieser Basis
string_rms;RMS;RMS
string_jobs;jobs;Stellen
string_sats_;Sats:;Sats:
string__d_survey_objects_changed_ok;%d survey objects changed ok;%d Vermessungsobjekte geändert ok
string_xml_justinlink_classificator___xml;XML JustinLink classificator *.xml;XML JustinLink-Klassifikator *.xml
string_edit_code__s;Edit Code %s;Code %s bearbeiten
string_do_you_want_to_set_description___1_s__and_code___2_s__for_all__3_d_points_;Do you want to set description \'%1$s\' and code \'%2$s\' for all %3$d points?;Möchten Sie Beschreibung \'%1$s\' und Code \'%2$s\' für alle %3$d Punkte einstellen?
string_tdop;TDOP;TDOP
string_base_;Base:;Basis:
string_export_failed;Export failed;Export fehlgeschlagen
string_code_name_already_exist_;Code name already exist!;Codename existiert bereits!
string_code_name_is_empty_;Code name is empty!;Codename ist leer!
string__1_s_2_s__3_s;%1$s%2$s %3$s;%1$s%2$s %3$s
string_select_export_type;Select Export Type;Exporttyp auswählen
string__s;%s;%s
string_file__s_exist__overwrite_;File %s exist. Overwrite?;Datei %s existiert. Überschreiben?
string_all_jobs_have_successfully_archived_to_folder___s__;All Jobs have successfully archived to folder \'%s\'!;"Alle Aufträge wurden erfolgreich in den Ordner ""%s"" archiviert!"
string_from_your_camera;From your Camera;Von Ihrer Kamera
string_do_you_want_to_restore_complex_object_;Do you want to restore complex object?;Möchten Sie ein komplexes Objekt wiederherstellen?
string_point_name_is_too_long__nlimit_it_up_to_40_chars__please;Point name is too long!\nLimit it up to 40 chars, please;Der Punktname ist zu lang!\nBeschränken Sie ihn bitte auf maximal 40 Zeichen
string_hrms;HRMS;HRMS
string_correction_by_levels;Correction by Levels;Korrektur durch Levels
string_modify_rtk_base;Modify RTK Base;RTK-Basis modifizieren
string_occupation_time;Occupation Time;Belegung Zeit
string_inclination_y_receiver;Inclination Y Receiver;Neigung Y-Empfänger
string_do_you_want_to_set_description___1_s__for_all__2_d_points_;Do you want to set description \'%1$s\' for all %2$d points?;Möchten Sie die Beschreibung \'%1$s\' für alle %2$d Punkte setzen?
string_satellites;Satellites;Satelliten
string_slant;slant;Neigung
string_creare_new;Creare New;Neu erstellen
string_can_t_change__d_survey_objects_;can\'t change %d survey objects!;kann %d Vermessungsobjekte nicht ändern!
string_data_loaded__parsing___;Data loaded. Parsing&#8230||;Daten geladen. Parsing&#8230||
string_epochs;epochs;Epochen
string_applying_setting___;Applying setting&#8230||;Einstellung anwenden&#8230|
string_all_codes;All Codes;Alle Codes
string__1_d_changed_ok_n_2_d_can_t_be_changed_;%1$d changed ok\n%2$d can\'t be changed!;%1$d geändert ok\n%2$d kann nicht geändert werden!
string_antenna_id;Antenna ID;Antennen-ID
string_imported_ok;Imported OK;Importiert OK
string_point_name_is_empty_;Point name is empty!;Punktname ist leer!
string_fh_freq;FH Freq;FH Freq
string_inclination_x_receiver;Inclination X Receiver;Neigung X Empfänger
string_delete__1_s__2_s;Delete %1$s %2$s;Löschen %1$s %2$s
string_wrong_min_value_length_;Wrong min value length!;Falsche Mindestwertlänge!
string_compare_rtk_rtpk;Compare RTK+RTPK;Vergleich RTK+RTPK
string_duplicate_job;Duplicate Job;Auftrag duplizieren
string_import_error__;Import error #;Importfehler #
string_new_picture;New Picture;Neues Bild
string_za;ZA;ZA
string_point__s_has_been_deleted_;Point %s has been deleted.;Der Punkt %s wurde gelöscht.
string_please_check_free_space_in_the_main_memory_before_the_action_;Please check free space in the main memory before the action!;Bitte prüfen Sie vor der Aktion den freien Platz im Hauptspeicher!
string__d_design_point_changed_ok;%d design point changed ok;%d Designpunkt geändert ok
string_std;Std;Std
string_please_manually_open_result_file_in_the_job_subfolder_;Please manually open result file in the job subfolder.;Bitte öffnen Sie die Ergebnisdatei im Unterordner des Jobs manuell.
string_import;Import;Importieren
string__d_survey_points_in_the_job;%d survey points in the job;%d Vermessungspunkte im Job
string_rtk_base__1_s_was_successfully_added_into_catalog__2_s;RTK base %1$s was successfully added into catalog %2$s;RTK-Basis %1$s wurde erfolgreich in Katalog %2$s hinzugefügt
string_please_backup_the_jobs_manually_before_the_action_;Please backup the jobs manually before the action!;Bitte sichern Sie die Jobs vor der Aktion manuell!
string_text__n_code_description____txt;Text (N,code,description) *.txt;Text (N,Code,Beschreibung) *.txt
string_text__code_description____txt;Text (code,description) *.txt;Text (Code,Beschreibung) *.txt
string_hdop;HDOP;HDOP
string_vert_;vert.;vert.
string_move;Move;Verschieben
string_importing;Importing;Importieren
string_dst;Dst;Dst
string_inclination_y_controller;Inclination Y Controller;Neigung Y Regler
string_moving_job__s;Moving job %s;Verschiebeauftrag %s
string_mapinfo____tab_;MapInfo (*.tab);MapInfo (*.tab)
string_vers_;vers.;vers.
string_inclination_x;Inclination X;Neigung X
string_and;And;Und
string_modify_many_points;Modify many points;Viele Punkte modifizieren
string_share_file_with;Share file with;Datei teilen mit
string_check_all;Check All;Alle prüfen
string__1_d_points_were_added_into_catalog__2_s;%1$d points were added into catalog %2$s;%1$d Punkte wurden im Katalog %2$s hinzugefügt
string_backsite;BackSite;BackSite
string_no_drawings_to_delete_;No drawings to delete!;Keine Zeichnungen zu löschen!
string_point;point;Punkt
string_add__1_d_selected_points_to_catalog__2_s;Add %1$d selected points to catalog %2$s;Füge %1$d ausgewählte Punkte zum Katalog %2$s hinzu
string_trimble_fxl___fxl;Trimble FXL *.fxl;Trimble FXL *.fxl
string_warning;Warning;Warnung
string__1_d_survey___2_d_design___3_d_ts;%1$d survey, %2$d design, %3$d TS;%1$d Vermessung, %2$d Entwurf, %3$d TS
string_importing___;Importing&#8230||;Importieren&#8230||
string_correction_source_corrections;Correction Source Corrections;Korrekturen Quelle Korrekturen
string_auth_token_;Auth.Token=;Auth.Token=
string_h_rms;H.RMS;H.RMS
