export_headers;Export With Header Row;Export mit Kopfzeile
sel_lat_lon_format;Lat/Lon format;Lat/Lon-Format
decimal_point_comma;Comma;Komma
tap_scale;Tap To Input Decimal Scale&#8230||;Tippen Sie auf Dezimalskala eingeben&#8230||
decimal_point_point;Point;Punkt
decimal_sign;Decimal Sign:;Dezimalzeichen:
tap_delimiter;Tap To Input Delimiter Symbol(s)&#8230||;Tippen Sie auf , um das/die Trennzeichen einzugeben&#8230|
drag_drop_image;(Drag&amp||amp||Drop Image To Grid);(Ziehen&#8230|Bild auf Raster fallen lassen)
iter_traj;Iterate Trajectories;Trajektorien iterieren
file_name;File Name:;Dateiname:
tap_sel_lat_lon_format;Tap to select format of Latitude/Longitude;Tippen Sie auf , um das Format von Latitude/Longitude zu wählen
sel_cs;CS:;CS:
parser_type;Parser Type:;Parser-Typ:
col_count;Columns Count:;Spaltenanzahl:
tap_col_count;Tap To Input Number Of Columns&#8230||;Tippen Sie auf , um die Anzahl der Spalten einzugeben&#8230||
str_scale;Scale*:;Maßstab*:
tap_file_name;Tap To Select File Name&#8230||;Tippen Sie auf , um den Dateinamen zu wählen&#8230||
parser;Parser:;Parser:
tap_decimal_sign;Tap To Select Decimal Sign&#8230||;Tippen Sie auf , um das Dezimalzeichen zu wählen&#8230||
tap_parser_type;Tap To Select Parcer Type&#8230||;Tippen Sie auf , um den Parsertyp zu wählen&#8230||
tap_sel_cs;Tap To Select Coordinate System&#8230||;Tippen Sie auf , um das Koordinatensystem zu wählen&#8230||
delim_symbol;Delimiter Symbol:;Begrenzungszeichen:
tap_delim_symbol;Tap To Input Delimiter Symbol&#8230||;Tippen Sie auf , um das Trennzeichen einzugeben&#8230||
str_delimiter;Delimiter:;Begrenzungszeichen:
