button_start_corrections;Start Corrs.;Starten Sie Corrs.
use_repeater;Use Repeater;Repeater verwenden
string_menu_offset_trajectory;Trajectories;Trajektorien
text_course;Course;Kurs
rcvclient_port;RCV Client Port;RCV-Client-Anschluss
text_point_name;Point\n;Punkt\n
string_p2;P2;P2
setup_internet_wifi_format;WiFi Mode:%1$s\nSSID:%2$s\nSec:%3$s DHCP:%4$s;WiFi-Modus:%1$s\nSSID:%2$s\nSec:%3$s DHCP:%4$s
text_dtt_sign;\u0394;\u0394
turn_on_anyway;Turn on;Einschalten
use_epochs_for_long_distance_stakeout;Use epochs for distance stakeout;Epochen für Abstandsabsteckung verwenden
text_stt;STT;STT
set_from_server_settings;Set from Ntrip Server;Vom Ntrip-Server einstellen
string_use_signals;Use Measurements in RTK;Messungen in RTK verwenden
gprs_apn;APN;APN
correct_by_compass_and_levels;Correct by Tilt;Nach Neigung korrigieren
string_ddoppl;dDoppl;dDoppl
cant_read_receivertime_to_program;Can\'t obtain current receiver time!;Kann die aktuelle Empfängerzeit nicht erhalten!
trimmarkii_protocol_parameters;Trimmark II/IIe params.;Trimmark II/IIe params.
signals_gps;GPS;GPS
string_p1;P1;P1
verify_in_not_finished;Verify in not finished. Do you want to store an intermidiate position?;Verify in nicht beendet. Möchten Sie eine Zwischenposition speichern?
string_menu_nearest_magnet_off;Nearest Manual Switch;Nächstgelegener manueller Schalter
receiver_firmware_version;Firmware Version;Firmware-Version
text_y_map;Y;Y
cmr_plus;CMR+;CMR+
survey_file_name;File Name;Datei-Name
string_options_menu;Options;Optionen
android_azimuth;Andr.Azimuth;Andr.Azimut
text_forward_sign;\u21E7;\u21E7
connecttion;Connection;Verbindung
rcvclient_address;RCV Client IP/Address;RCV-Client IP/Adresse
enable_power_output;Enable Power Output;Enable Power Output
string_receiver_id;Receiver Id;Receiver Id
epochs_rejected;rejected;abgelehnt
compass_status_ok;Compass is calibrated OK;Kompass ist kalibriert OK
compass_and_levels_from_receiver;Compass/Levels from Receiver;Kompass/Nivellierung vom Empfänger
configuration_name;Configuration Name;Konfiguration Name
antenna_mismatch;Antenna mismatch;Antennen-Fehlanpassung
text_point_time;Occ.Time;Occ.Zeit
gprs_user;User;Benutzer
button_unregister_jcors;LogOut receiver JCORS;LogOut Empfänger JCORS
text_dtt_map;DTT;DTT
epoch_distance_rejected;Epoch too close in trajectory;Epoche zu nah in der Trajektorie
base_connected_to_2;Base radio connected to;Basisfunkgerät verbunden mit
read_cs_from_vrs_2;Read CS from %s and set as Ref.Frame and Job CS;CS aus %s lesen und als Ref.Frame und Job CS setzen
button_logging;File Logging;Datei Logging
grid_azimuth;Grd.Azimuth;Grd.Azimut
rtcm3cs_mismatch2;RTCM3 coordinate system is different Reference Frame!;RTCM3-Koordinatensystem ist anderer Reference Frame!
string_disconnect_2;Disconnect;Trennen Sie die Verbindung
lan_ip;IP;IP
ntripclient_mount_point;Ntrip Client Mount Point;Ntrip Client Belegungspunkt
cant_convert_occupation_point_to_cws;Cannot convert occupation point to cws!;Kann Belegungspunkt nicht nach cws konvertieren!
trajectory_name;Traj.Name;Traj.Name
check_settings;Check Settings;Einstellungen prüfen
text_across_sign;\u2194;\u2194
frequency_empty;Frequency is Empty;Frequenz ist leer
height_filter_height_summary;Reference Height;Referenzhöhe
address;IP Address/DNS;IP-Adresse/DNS
string_debug_survey_level;Debug Survey Level;Debug-Übersichtsebene
last_name_help;This is list of last names used in the job. Click to an item to set name with next index;Dies ist eine Liste der im Auftrag verwendeten Nachnamen. Klicken Sie auf ein Element, um den Namen mit dem nächsten Index zu setzen
csd_phone;Phone;Telefon
title_control;CONTROL;STEUERUNG
ntripclient_password;Ntrip Client Password;Ntrip-Client-Passwort
static_t;Static;Statisch
cant_create_file;Can\'t create receiver file!;Kann keine Empfängerdatei erstellen!
trimtalk450s;Trimtalk 450S;Trimtalk 450S
rcv_base;RCV Base;RCV Basis
string_cant_compute_occupation_point;Cannot compute Occupation Point!;Kann den Besetzungspunkt nicht berechnen!
days;days;Tage
text_point_epochs;Epochs;Epochen
rtk_base;RTK Base;RTK-Basis
string_next_target;Next;Nächste
receiver_bootloader_version;Boot Loader Version;Boot Loader Version
signal_unavalibale;Signal Unavailable;Signal nicht verfügbar
compass_status;Compass is calibrated OK;Kompass ist kalibriert OK
satel_protocol_parameters;Satel protocol settings;Satel Protokoll Einstellungen
text_across;Across;Über
epochs_collected2;epochs collected;Epochen gesammelt
text_x_map;X;X
string_use_external_bluetooth_control_for_survey;Use Remote Bluetooth Control for Survey;Bluetooth-Fernsteuerung für Vermessung verwenden
trimmark3_protocol_parameters;Trimtalk 3 params.;Trimtalk 3 Params.
