string_internet_via_lan;Internet via LAN;Internet über LAN
string_select_bs;Select BS;BS auswählen
string_1_sec__1hz_;1 sec (1Hz);1 Sekunde (1Hz)
string_start_nlevels_ncalibration;Start\nLevels\nCalibration;Start\nLevels\nKalibrierung
string_name;Name;Name
string_satellite_navigation_status_is_undefined;Satellite navigation status is undefined;Satellitennavigationsstatus ist undefiniert
string_can_t_stop_corrections_into_receiver_file_;Can\'t stop corrections into receiver file!;Kann Korrekturen in Empfängerdatei nicht stoppen!
string_close;Close;Schließen
string__1_s__2_dbs_fec__3_s_cmpt__4_s_clkcrr__5_s;%1$s %2$dbs FEC:%3$s Cmpt:%4$s ClkCrr:%5$s;%1$s %2$dbs FEC:%3$s Cmpt:%4$s ClkCrr:%5$s
string_power_off_failed;Power off failed;Ausschalten fehlgeschlagen
string_no;No;Keine
string_add_design;Add design;Entwurf hinzufügen
string_start_nside__d_ncalibration;Start\nSide %d\nCalibration;Start\nSeite %d\nKalibrierung
string_or_dgps;or DGPS;oder DGPS
string_error_of_clearing_session;Error of clearing session;Fehler beim Löschen der Sitzung
string_jmt;JMT;JMT
string_satel_pars__;Satel pars.:;Satel pars.:
string_do_you_want_to_delete__1_s_;Do you want to delete %1$s?;Möchten Sie %1$s löschen?
string_debug_nmode;Debug\nMode;Fehlersuche\nModus
string_fh_radio_error____s_;FH radio error! (%s);FH Funkfehler! (%s)
string_trimtalk_pars__;Trimtalk pars.:;Trimtalk pars.:
string_p_l1__l2c__and_l5_slots_are_used_in_rtk_processing;P/L1, L2C, and L5 slots are used in RTK processing;P/L1-, L2C- und L5-Slots werden in der RTK-Verarbeitung verwendet
string_scheme;Scheme;Schema
string_incorrect_json_in_qr_code;Incorrect JSon in QR code;Falsches JSon im QR-Code
string_cll_is_not_settled;CLL is not settled;CLL wird nicht abgerechnet
string_p_l1_data_used_for_position_computation;P/L1 data used for position computation;P/L1-Daten werden für die Positionsberechnung verwendet
string_current_ip;Current IP;Aktuelle IP
string_starting___;Starting&#8230||;Beginnend&#8230||
string_protocol_;Protocol:;Protokoll:
string_can_t_setup_lan_parameters;Can\'t setup LAN parameters;Kann LAN-Parameter nicht einrichten
string_phone_;Phone:;Telefon:
string_log_file_creation_error_;Log file creation error!;Fehler bei der Erstellung der Protokolldatei!
string_description;Description;Beschreibung
