string_option_header;Option;Option
clear_nvram;Clear NVRAM;Clear NVRAM
init_parameters;Init Parameters;Init Parameters
reset_receiver_summary;Reset turns off and on the receiver;Reset turns off and on the receiver
update_firmware;Update Firmware;Update Firmware
string_purchase_header;Purch.;Purch.
string_curr_header;Cur.;Cur.
update_from_internet_stable;Update from Internet to Stable;Update from Internet to Stable
update_gsm_verizon_from_internet_latest;Update GSM (Verizon) firmware;Update GSM (Verizon) firmware
clear_file_system_summary;Clear file system removes all jps files on the receiver;Clear file system removes all jps files on the receiver
update_from_file;Update from File;Update from File
save_settings;Save Receiver Settings;Save Receiver Settings
update_gsm_generic_from_internet_latest;Update GSM (Generic) firmware;Update GSM (Generic) firmware
update_oaf_summary;Upfate receiver options(OAF) from file or from Web;Upfate receiver options(OAF) from file or from Web
restore_settings_summary;Restore  all receiver settings from setting file;Restore  all receiver settings from setting file
clear_nvram_summary;Crear all receiver settings to default values;Crear all receiver settings to default values
string_date_header;Date;Date
reset_rtk;Reset RTK;Reset RTK
string_leased_header;Leased;Leased
update_uhf_from_internet_latest;Update UHF firmware;Update UHF firmware
oaf_info;Options are OK;Options are OK
update_firmware_summary;Upfate receiver firmware from file or from Web;Upfate receiver firmware from file or from Web
init_parameters_summary;Crear all receiver settings to default values;Crear all receiver settings to default values
reset_receiver;Reset Receiver;Reset Receiver
save_settings_summary;Save all receiver settings into text file;Save all receiver settings into text file
action_save_oaf_report;Save OAF Report;Save OAF Report
check_oaf_at_every_connection;Check OAF at every connection;Check OAF at every connection
restore_settings;Restore Receiver Settings;Restore Receiver Settings
update_from_internet;Update from Internet;Update from Internet
clear_file_system;Clear File System;Clear File System
update_from_internet_latest;Update from Internet to Latest;Update from Internet to Latest
reset_rtk_summary;Turn RTK off and on to refix solution;Turn RTK off and on to refix solution
update_oaf;Update OAF;Update OAF
