cancel;Cancel;Abbrechen
string_north;North;Norden
select;Select;Wählen Sie
file_name;File name:;Dateiname:
action_theme_light;Theme Light;Thema Licht
no_data;No Data;Keine Daten
action_translate;Translate;Übersetzen
aaaa;aaaa;aaaa
file_dialog_create;Save;Speichern
string_height;Height;Höhe
app_name_utils;Utils;Utils
latlon_keyboard;Lat/Lon keyboard;Lat/Lon-Tastatur
light;Light;Licht
action_theme_dark;Theme Dark;Thema Dunkel
dark;Dark;Dunkel
string_east;East;Ost
zzzz;zzzz;zzzz
cant_read_folder;folder can\'t be read!;Ordner kann nicht gelesen werden!
file_dialog_new;New;Neu
theme;Theme;Thema
location;Location;Standort
