radio_rcv_server;RCV Server;RCV-Server
radio_gsm_radio;GSM DirectCall;GSM-DirectCall
radio_post_processing;Post-Processing data collection;Post-Processing Datenerfassung
radio_uhf_radio;UHF Radio;UHF-Funk
radio_fh_radio;FH Radio;FH-Funk
radio_rtk_stakeout;RTK Stakeout;RTK Absteckung
radio_rtk_survey;RTK Survey;RTK Vermessung
string_work_type_title;Work type;Arbeitstyp
radio_receiver_with_radio;GNSS Receiver with radio (GSM, UHF/FH);GNSS-Empfänger mit Funk (GSM, UHF/FH)
radio_receiver_via_nethub;Receiver connected via NetHub;Empfänger angeschlossen über NetHub
string_rtk_base_title;RTK Base;RTK-Basis
string_correction_source_xml;New Correction Source;Neue Korrekturquelle
radio_ntrip_server;Ntrip Server;Ntrip-Server
radio_vrs_no_base;VRS (no base required);VRS (keine Basis erforderlich)
button_next;Next &gt||&gt||;Weiter
