string_organize_view;Organize View;Organisieren Ansicht
string_repeat;Repeat;Wiederholen
string_welcome_to_javad_mobile_tools_for_android_;Welcome to Javad Mobile Tools for Android!;Willkommen bei Javad Mobile Tools für Android!
string_want_table_view_;Want table view?;Wollen Sie die Tabellenansicht?
string_survey___stakeout___offset_switch;Survey / Stakeout / Offset switch;Vermessung / Absteckung / Versatz umschalten
string_click_this_menu_item_to_return_back;Click this menu item to return back;Klicken Sie auf diesen Menüpunkt, um zurückzukehren
string_the_controls_can_be_placed_on_bottom_or_top_of_the_screen__nuse_swipes_and_organize_view_menu_item_to_configure_the_controls_;The controls can be placed on bottom or top of the screen.\nUse swipes and Organize View menu item to configure the controls.;Die Steuerelemente können am unteren oder oberen Rand des Bildschirms platziert werden.\nBenutzen Sie Wischen und den Menüpunkt Ansicht organisieren, um die Steuerelemente zu konfigurieren.
string_after_connection_to_gnss_receiver__survey_stakeout_controls_appear_on_the_screen_;After connection to GNSS receiver, survey/stakeout controls appear on the screen.;Nach der Verbindung mit dem GNSS-Empfänger erscheinen die Vermessungs-/Verschiebungssteuerungen auf dem Bildschirm.
string_long_press_to_this_button_changes_survey___stakeout_modes_;Long press to this button changes survey / stakeout modes.;Langes Drücken auf diese Schaltfläche ändert den Vermessungs-/Absteckmodus.
string_controls;Controls;Steuerelemente
string_use_this_menu_item_to_connect___disconnect_your_receiver_;Use this menu item to connect / disconnect your receiver.;Verwenden Sie diesen Menüpunkt, um Ihren Empfänger zu verbinden / zu trennen.
string_this_is_main_screen;This is main screen;Dies ist der Hauptbildschirm
string_next_time_the_app_connects_to_last_receiver_automatically_;Next time the app connects to last receiver automatically.;Beim nächsten Mal verbindet sich die App automatisch mit dem letzten Empfänger.
string_it_shows_your_project_data_on_map_and_let_you_do_survey_and_stakeout_;It shows your project data on map and let you do survey and stakeout.;Sie zeigt Ihre Projektdaten auf der Karte an und lässt Sie Vermessung und Absteckung durchführen.
string_there_you_can_connect_with_a_bluetooth___wifi___network_javad_gnss_receiver_;There you can connect with a Bluetooth / WiFi / Network Javad GNSS receiver.;Dort können Sie sich mit einem Bluetooth / WiFi / Netzwerk Javad GNSS-Empfänger verbinden.
string_skip_and_next___;Skip and Next &gt||&gt||;Überspringen und Weiter &gt||&gt||
string_return_back_to_map;Return back to map;Zurück zur Karte
string_you_can_any_time_repeat_this_intro_with_check_mark_in_show_menu_at_startup_dialog_;You can any time repeat this intro with check mark in Show Menu at startup dialog.;Sie können dieses Intro jederzeit mit einem Häkchen in Menü anzeigen beim Startdialog wiederholen.
string_create_and_next___;Create and Next &gt||&gt||;Erstellen und Weiter &gt|&gt||
string_all_other_actions_are_called_from_navigation_control_withe_left_top_button_;All other actions are called from navigation control withe left-top button.;Alle anderen Aktionen werden von der Navigationssteuerung mit der Taste links oben aufgerufen.
string_draw_on_map;Draw on map;Zeichnen auf Karte
string_click_this_menu_item_to_see_the_list_of_points_;Click this menu item to see the list of points.;Klicken Sie auf diesen Menüpunkt, um die Liste der Punkte zu sehen.
string_connect_to_gnss_receiver;Connect to GNSS receiver;Mit GNSS-Empfänger verbinden
string_long_press_this_button_lets_you_change_draw_or_measure_on_map_;Long press this button lets you change draw or measure on map.;Durch langes Drücken dieser Taste können Sie das Zeichnen oder Messen auf der Karte ändern.
string_also_some_cogo_tasks_available_from_map;Also some CoGo tasks available from map;Auch einige CoGo-Aufgaben sind von der Karte aus verfügbar
